Type de bien,Localisation,Salles de bains,Superficie,Prix,Chambres
Villa,Monastir,3,208,315000.0,5.0
Villa,Nabeul,4,320,735000.0,3.0
Appartement,Monastir,1,102,170000.0,2.0
Appartement,Monastir,1,64,125000.0,1.0
Appartement,Monastir,02,105,110000.0,2.0
Villa,Nabeul,4,500,830000.0,2.0
Appartement,Sousse,1,61.5,255000.0,1.0
Appartement,Ariana,1,115,400000.0,3.0
Appartement,Sousse,1,108,280000.0,2.0
Villa,Ariana,4,380,1090000.0,7.0
Appartement,Ariana,2,170,1699.0,2.0
Villa,Nabeul,4,490,1250000.0,4.0
Appartement,Tunis,1,0,900.0,1.0
Appartement,Mahdia,1,70,350000.0,2.0
Appartement,Ben Arous,1,115,170000.0,2.0
Villa,Sousse,1,180,440.0,4.0
Villa,Sfax,2,705,490000.0,2.0
Maison,Mahdia,1,254,240000.0,3.0
Appartement,Bizerte,2,154,350000.0,5.0
Appartement,Sfax,1,84,84000.0,3.0
Appartement,Ariana,2,139,385000.0,3.0
Appartement,Sousse,2,95,223000.0,3.0
Appartement,Sousse,1,50,135000.0,1.0
Appartement,Sousse,1,130,580000.0,2.0
Villa,Ariana,3,281,1180000.0,5.0
Appartement,Ariana,2,168,415000.0,3.0
Appartement,Ariana,1,59,253000.0,1.0
Appartement,Ariana,2,167,395000.0,4.0
Appartement,Ariana,2,119,315000.0,2.0
Appartement,Nabeul,1,59,255000.0,1.0
Villa,Ben Arous,1,200,350000.0,3.0
Appartement,Tunis,1,76,185000.0,1.0
Appartement,Ben Arous,2,121,270000.0,3.0
Appartement,Tunis,1,56,190000.0,1.0
Appartement,Ariana,2,120,180000.0,3.0
Appartement,Tunis,2,120,850.0,2.0
Villa,Tunis,1,185,800000.0,4.0
Appartement,Nabeul,1,116,185000.0,2.0
Appartement,Nabeul,2,500,669999.0,4.0
Villa,Ariana,6,850,2200000.0,8.0
Appartement,Ariana,2,120,334998.0,2.0
Appartement,Tunis,1,90,234000.0,3.0
Villa,Bizerte,2,600,165000.0,4.0
Villa,Nabeul,4,800,1050000.0,4.0
Villa,Nabeul,4,397,1050000.0,4.0
Appartement,Tunis,2,110,11111.0,2.0
Appartement,Bizerte,1,89,200000.0,2.0
Appartement,Ariana,1,117,285000.0,2.0
Villa,Bizerte,2,300,349999.0,3.0
Appartement,Tunis,1,100,240000.0,2.0
Appartement,Bizerte,2,150,65000.0,3.0
Appartement,Tunis,2,132,590000.0,2.0
Appartement,Nabeul,1,77,320000.0,1.0
Appartement,Ben Arous,1,58,108000.0,2.0
Appartement,Ben Arous,1,1,129000.0,1.0
Appartement,Ariana,2,138,330000.0,3.0
Appartement,Ariana,2,115,290000.0,3.0
Appartement,Tunis,2,82,220000.0,3.0
Appartement,Tunis,1,40,180000.0,1.0
Appartement,Ariana,1,50,118000.0,1.0
Villa,Ariana,2,400,900000.0,4.0
Appartement,Ariana,1,40,165000.0,1.0
Appartement,Ariana,2,157,400000.0,4.0
Villa,Ariana,0,1143,1490000.0,5.0
Appartement,Nabeul,2,155,530000.0,3.0
Appartement,Sousse,1,120,360000.0,2.0
Villa,Sousse,3,429,750000.0,3.0
Appartement,Tunis,1,1402,320000.0,3.0
Appartement,Nabeul,1,59,255000.0,1.0
Maison,Tunis,1,336,700000.0,3.0
Villa,Nabeul,4,600,830000.0,4.0
Villa,Nabeul,3,420,760000.0,4.0
Appartement,Tunis,2,238,1000000.0,3.0
Appartement,Ben Arous,2,140,270000.0,3.0
Maison,Tunis,2,178,171000.0,2.0
Villa,Nabeul,4,347,1100000.0,4.0
Appartement,Ariana,1,116,201000.0,1.0
Appartement,Sfax,1,450,170.0,1.0
Appartement,Nabeul,2,185,10.0,6.0
Appartement,Tunis,2,380,355000.0,3.0
Appartement,Tunis,2,100,120000.0,4.0
Appartement,Sfax,1,88,75000.0,3.0
Appartement,Ben Arous,1,1,11111111.0,1.0
Villa,Ben Arous,2,600,668.0,8.0
Villa,Nabeul,4,470,950000.0,4.0
Villa,Sousse,5,450,1150000.0,5.0
Appartement,Tunis,1,138,680000.0,2.0
Appartement,Tunis,2,165,680000.0,3.0
Appartement,Sfax,1,135,275000.0,3.0
Appartement,Ariana,1,162,148.0,3.0
Appartement,Tunis,2,140,260000.0,3.0
Villa,Tunis,3,543,650000.0,4.0
Maison,Tunis,1,572,580000.0,3.0
Appartement,Tunis,2,112,313000.0,2.0
Appartement,Tunis,1,60,205000.0,1.0
Appartement,Tunis,1,85,205000.0,1.0
Appartement,Tunis,2,165,368000.0,3.0
Appartement,Tunis,2,200,460000.0,4.0
Appartement,Tunis,1,68,157000.0,1.0
Villa,Sousse,2,450,950000.0,4.0
Appartement,Sousse,1,90,420000.0,2.0
Appartement,Sousse,1,80,250000.0,2.0
Appartement,Tunis,2,142,313000.0,2.0
Appartement,Ben Arous,1,95,159000.0,3.0
Appartement,Tunis,1,118,290000.0,2.0
Appartement,Tunis,2,195,570000.0,3.0
Appartement,Tunis,2,185,365000.0,4.0
Appartement,Tunis,1,120,290000.0,1.0
Appartement,Tunis,1,72,320000.0,1.0
Appartement,Tunis,2,154,680000.0,2.0
Appartement,Tunis,1,64.9,227000.0,1.0
Villa,Monastir,2,916,680000.0,3.0
Villa,Monastir,3,179,218000.0,3.0
Appartement,Monastir,1,69,148000.0,2.0
Appartement,Tunis,3,190,650000.0,3.0
Appartement,Ben Arous,1,107,175000.0,2.0
Villa,Nabeul,3,234,575000.0,4.0
Maison,Nabeul,1,269,400000.0,3.0
Appartement,Ben Arous,2,40,25000.0,1.0
Appartement,Sousse,1,75,255000.0,1.0
Maison,Sousse,1,128,160000.0,3.0
Appartement,Sousse,2,141,300000.0,2.0
Appartement,Nabeul,2,135,370000.0,3.0
Appartement,Nabeul,1,65,250000.0,1.0
Appartement,Nabeul,1,150,530000.0,3.0
Villa,Nabeul,3,426,1000000.0,3.0
Appartement,Tunis,1,130,285000.0,3.0
Villa,Nabeul,3,347,1100000.0,4.0
Appartement,Sousse,1,78,168.0,2.0
Appartement,Sousse,0,120,350000.0,2.0
Villa,Tunis,2,282,800000.0,4.0
Appartement,Ariana,2,0,1300.0,3.0
Appartement,Tunis,2,129,313000.0,2.0
Appartement,Tunis,2,114,380000.0,2.0
Appartement,Ariana,2,175,400000.0,3.0
Appartement,Sousse,1,110,320000.0,3.0
Appartement,Tunis,1,100,240000.0,2.0
Appartement,Ariana,1,130,365000.0,3.0
Appartement,Ariana,1,71,201000.0,1.0
Appartement,Ariana,2,140,400000.0,3.0
Villa,Sfax,2,2300,1450000.0,3.0
Appartement,Tunis,1,1111,111111111.0,1.0
Appartement,Ariana,1,146,400000.0,3.0
Appartement,Nabeul,1,25,140000.0,1.0
Appartement,Sousse,1,85,145000.0,2.0
Appartement,Nabeul,1,150,130000.0,2.0
Maison,Ariana,2,500,360000.0,5.0
Appartement,Sousse,1,75,270000.0,1.0
Villa,Nabeul,3,660,1470000.0,3.0
Appartement,Sousse,1,82,385000.0,2.0
Maison,Sousse,4,360,549999.0,7.0
Villa,Ben Arous,3,566,495000.0,3.0
Villa,Ariana,2,224,500.0,4.0
Appartement,Ariana,2,115,290000.0,2.0
Appartement,Ben Arous,1,50,85000.0,1.0
Appartement,Nabeul,1,100,170000.0,2.0
Maison,Ben Arous,2,216,375000.0,3.0
Villa,Ben Arous,4,418,790000.0,7.0
Maison,Ben Arous,3,420,590000.0,4.0
Appartement,Tunis,2,120,320000.0,3.0
Appartement,Ben Arous,3,180,319000.0,3.0
Maison,Ben Arous,1,200,325000.0,3.0
Maison,Ben Arous,1,206,360000.0,3.0
Appartement,Ariana,1,50,180000.0,1.0
Villa,Sousse,1,792,1800000.0,3.0
Maison,Ben Arous,1,622,430000.0,3.0
Villa,Ben Arous,3,395,495000.0,3.0
Villa,Ben Arous,2,597,790000.0,3.0
Villa,Sousse,2,387,650000.0,5.0
Appartement,Nabeul,1,65,265000.0,1.0
Maison,Ben Arous,4,185,480000.0,4.0
Maison,Tunis,4,367,700000.0,4.0
Appartement,Nabeul,2,99,250000.0,3.0
Appartement,Ben Arous,1,622,800000.0,3.0
Maison,Tunis,1,101,212000.0,2.0
Appartement,Zaghouan,3,160,600000.0,7.0
Appartement,Sousse,1,116,280000.0,3.0
Villa,Nabeul,04,335,1200000.0,8.0
Appartement,Sousse,1,93,229000.0,2.0
Appartement,Sousse,1,61,255041.0,1.0
Appartement,Sousse,2,85,89000.0,3.0
Appartement,Sousse,1,95,255000.0,2.0
Appartement,Sousse,1,90,249000.0,2.0
Appartement,Sousse,1,80,120000.0,2.0
Appartement,Sousse,2,100,270000.0,4.0
Appartement,Sousse,1,116,280000.0,3.0
Villa,Sousse,3,760,850000.0,6.0
Maison,Sousse,4,365,395000.0,6.0
Appartement,Sousse,2,100,280000.0,2.0
Villa,Sousse,2,458,460000.0,4.0
Appartement,Sousse,1,70,620.0,2.0
Appartement,Sousse,1,80,210000.0,3.0
Appartement,Tunis,2,128,395000.0,2.0
Maison,Tunis,3,378,290000.0,3.0
Maison,Nabeul,1,229,330000.0,4.0
Appartement,Tunis,3,145,550000.0,3.0
Villa,Tunis,3,410,1200000.0,4.0
Appartement,Tunis,2,154,680000.0,2.0
Appartement,Tunis,3,288,980000.0,5.0
Appartement,Tunis,1,70,410000.0,1.0
Appartement,Ben Arous,1,160,360.0,3.0
Appartement,Ariana,2,157,365000.0,3.0
Appartement,Tunis,2,184,460000.0,2.0
Maison,Nabeul,1,180,140000.0,2.0
Appartement,Ben Arous,1,110,180000.0,2.0
Appartement,Ariana,3,120,255000.0,5.0
Appartement,Ben Arous,1,110,180000.0,2.0
Appartement,Nabeul,2,290,210000.0,3.0
