Localisation,Configuration des pièces,Superficie,Chambres,Type de bien,Annonce,Type de transaction,Prix,Salles de bains
Tunis,,65,1,,jolie appartement jardin de Carthage courte durée,À Louer,130,1
Tunis,S+1,55,1,,A LOUER - S+1 MEUBLE - JARDINS EL AOUINA - TEL 50362627 - FB.7102,À Louer,1150,1
Nabeul,,400,4,,"Villa "" Les Mouettes """,À Vendre,1030000,4
Tunis,S+2,100,2,,A LOUER - S+2 - CITE EL WAHAT - 50362627 - FB.7076,À Louer,1300,1
Sfax,,900,4,,برج عربي، قرمدة كم 9,À Vendre,,1
Ariana,S+2,98.48,2,,S+2 à  La Petite Ariana,À Vendre,280000,1
Ariana,S+1,55,1,,A LOUER S+1 MEUBLE – LA SOUKRA – TEL 56306032 – FB.6972,À Louer,1200,1
Nabeul,,120,2,,Appartement Résidence  D,À Louer,1800,1
Tunis,,200,1,,"A louer un dépôt 200m² hauteur 4,5m à Bhar Lazreg rue Charles de Gaulle en face Aziza la marsa",À Louer,1300,1
Tunis,,False,False,,A vendre un terrain 1000m² 40m/25m viabilisé équiper par Gaz de ville steg soned avec un studio bien aménager à Gammarth la Marsa,False,1000,False
Tunis,S+3,250,3,,A louer un géant 1er étage S+3 avec Gaz de ville chauffage centrale Garage voiture  a Gammarth la Marsa,À Louer,900,1
Tunis,,False,False,,Bureaux privatifs meublés à louer,À Louer,850,False
Ariana,,False,False,,A vendre deux lots de terrain 430m² est 341m² viabilisé Lotissement ELMASSMOUDI 300m du rom-point Parc Soukra,False,850,False
Tunis,S+2,90,2,,A louer deux appartement S+2 dans une immeuble 1er est 3em étage à Carthage Yesmina,À Louer,600,1
Tunis,,False,False,,"A vendre un terrain 1210m² pour un projet PADEL (tennis) coté les 3  nouvelles écoles , 300m du Rom-point cité IKALIL à bhar lazreg la marsa",False,650,False
Tunis,,60,5,,A vendre une petite maison titre bleu R+ 3 recette de loyer 2000dt/moi ce trouve à Bhar Lazreg 1 en face l'école BOUEBDELI la Marsa,À Vendre,270000,4
Tunis,,False,False,,A vendre un terrain 150m² titre individuelle autorisation de bâtir R+2  de Type Individuel et semi Collectif Isolé Ain Zaghouan la Marsa,False,1300,False
Ben Arous,,False,False,,Un Terrain de 12 000 m² à Rades,False,,False
Ariana,S+2,100,2,,A LOUER S+2 MEUBLE – L’AOUINA – TEL 56306032 – FB.6890,À Vendre,1200,1
Ariana,S+1,80,1,,A LOUER S+1 – LA SOUKRA – TEL 56306032- FB.6913,À Louer,1350,1
Tunis,,150,2,,Appartement meublé s2 l’aouina,À Louer,100,1
Ariana,S+2,150,2,,A LOUER – S+2 – ARIANA – TEL 56306032 – FB.7077,À Louer,1300,1
Ariana,,60,1,,location local 60m2,À Louer,550,1
Ariana,S+1,80,1,,A VENDRE S+1 – ARIANA – TEL 56306032 – FB.7094,À Vendre,202000,1
Tunis,S+1,51.55,1,,A VENDRE S+1 – WAHAT – TEL 56306032 – FB.6887,À Vendre,178000,1
Mahdia,S+2,100,2,,🏠 𝐀 𝐕𝐄𝐍𝐃𝐑𝐄  Appartement haut standing S+2- Mahdia,À Vendre,275000,1
Mahdia,S+2,101,2,,🏠  𝐀 𝐕𝐄𝐍𝐃𝐑𝐄 Appartement de haut Standing S+2 🌊 Zone Touristique- Mahdia,À Vendre,405000,1
Mahdia,,280,5,,🏠 𝐀 𝐕𝐄𝐍𝐃𝐑𝐄 Maison 6 pièces avec Studio-Centre Ville - Mahdia,À Vendre,300000,3
Mahdia,S+3,160,3,,🏠  Location Annuelle: Rez-de-chaussée S+3 meublé avec Garage-Centre ville Mahdia,À Louer,1000,2
Mahdia,S+3,130,3,,🏠  Location Annuelle: Appartement style Duplex S+3 meublé - Zone Touristique - Mahdia,À Louer,750,2
Mahdia,S+1,70,1,,🏠  Location Annuelle: Appartement S+1 meublé -Zone touristique Mahdia,À Louer,600,1
Mahdia,S+1,82,2,,𝐀 𝐕𝐄𝐍𝐃𝐑𝐄 Des Appartements de haut Standing S+1/S+2 / S+3🌊 Zone Touristique- Mahdia,À Vendre,226800,1
Mahdia,,160,1,,🏠𝐀 𝐕𝐄𝐍𝐃𝐑𝐄 Fonds de commerce salon de thé - Zone Touristique - Mahdia,À Vendre,125000,2
Mahdia,S+3,600,3,,🏠 𝐀 𝐕𝐄𝐍𝐃𝐑𝐄  Immeuble commercial R+4 avec Duplex S+3 - Centre ville Mahdia,À Vendre,395000,2
Mahdia,S+3,156,4,,🏠 𝐀 𝐕𝐄𝐍𝐃𝐑𝐄  Appartement S+3 neuf- Zone Touristique Mahdia,À Vendre,410000,1
Tunis,S+2,116,2,,A LOUER - S+2 - JARDINS DE CARTHAGE - 50362627 - FB.7040,À Louer,1800,1
Tunis,S+2,120,2,,A louer S+2 haut standing avec PPKSS à cité wahat,À Louer,1150,2
Ariana,,55,1,,a louer s+1 meublé à riadh el andalous,À Louer,875,1
Ariana,,120,2,,a louer s+2 très haut standing a Riadh l'andalous,À Louer,1200,0
Ben Arous,,204,0,,دار للبيع,À Vendre,135000,0
Nabeul,,False,False,,Terrain agricole 14280 m²  à Kelibia,False,1000000,False
Nabeul,,False,False,,Terrain à vendre,False,500,False
Ariana,,110,3,,REZ DE CHAUSSE D'UNE VILLA A BORJ LOUZIR,À Louer,600,1
Ben Arous,,120,5,,A Vendre Maison Mourouj 4 deux étages indépendant,À Vendre,,2
Sousse,,61.5,1,,Des appartements neufs à vendre - Kantaoui Sousse,À Vendre,255000,1
Ben Arous,S+2,77,2,,A Vendre Appartement Rdc  S+2 Mourouj 5,À Vendre,,1
Ariana,,114,2,,a vendre s+2 ghazella,À Vendre,270000,2
Ariana,,200,4,,a louer duplex s+4 a menzah  UV4,À Louer,1600,2
Nabeul,S+3,107,3,,A vendre Maison S+3 Centre Beni Khiar Nabeul,À Vendre,145000,1
Ariana,,124,2,,a louer s+2 haut standing a soukra,À Louer,1200,0
Ariana,,60,1,,Ennasr à louer s+1 très haut standing,À Louer,1100,0
Ariana,,80,1,,Ennasr à louer s+1 très haut standing,À Louer,980,0
Ariana,,120,5,,a louer bureau H+5 pres  clinique Farabi,À Louer,1250,0
Ariana,,150,3,,a louer rez de jardin usage bureautique,À Louer,1200,2
Tunis,,120,2,,APPARTEMENT S2 Zyetine Wahet Aouina,À Vendre,290,1
