Localisation,Configuration des pièces,Superficie,Chambres,Type de bien,Annonce,Type de transaction,Prix,Salles de bains
Ariana,,230,4,,à LOUER étage villa s+4 JARDINS D'EL MENZAH,À Louer,,3
Sousse,,40,0,,Studio a louer,À Louer,3,1
Nabeul,,False,False,,A vendre des terrains à cité ezzayatine grombalia,False,,False
Tunis,,350,6,,A LOUER UNE JOLIE VILLA AU MANAR 1,À Louer,2900,3
Tunis,S+1,100,1,,Appartement S+1 meublé à Marsa Corniche,À Louer,160,2
Sousse,,163,2,,appartements 163 m2 à vendre à Tantana Chatt Meriam,À Vendre,,1
Sousse,,60,1,,S1 en cours de construction a chott mariem,À Vendre,180000,1
Tunis,,120,4,,Bureau en 4 espaces-120m²- Lac 1 – IFCL1302,À Louer,2300,1
Sousse,,163,2,,appartements 163 m2 à vendre à Tantana Chatt Meriam,À Vendre,,1
Ariana,,79,1,,appart s+1 au rdc à louer (derrière clinique Ennasr 2),À Louer,1200,1
Nabeul,,740,3,,Av maison 700m pas loin de Hammamet 99958728,À Vendre,350000,2
Sousse,,40,1,,A louer un studio meublé - Sahloul 3 Sousse,À Louer,700,1
Tunis,,120,4,,Bureau en 4 espaces - 120m²- Lac 3– IFCL327,À Louer,1800,0
Monastir,,False,False,,Forssa -Bonne affaire Tunisie,False,600,False
Nabeul,S+2,90,2,,"A Vendre Villa S+2 Haut Standing Située à Benikhiar, Nabeul",À Vendre,300000,2
Ariana,,40,False,,Magasin de 40m2,À Louer,1350,1
Nabeul,,300,4,,Villa individuelle,À Louer,4700,2
Tunis,S+0,60,1,,A LOUER – S+0 – AIN ZAGHOUAN- TEL 56306032 – FB.7140,À Louer,850,1
Sousse,,80,2,,s2 proche de la mer en cours de construction,À Vendre,250000,1
Nabeul,,False,False,,Terrain  243 m² pieds dans l’eau à plage Ezzahra Hammam ghzeez,False,389000,False
Sousse,,145,3,,Triplex en vente avec vue mer  a chott mariem,À Vendre,389999,3
Nabeul,,95,2,,TECNOCASA HAMMAMET SUD MET EN VENTE!,À Vendre,320000,1
Nabeul,,100,2,,Appartement Jed,À Louer,1600,2
Nabeul,,255,3,,Av maison arabe 255m pas loin de Hammamet 99202001,À Vendre,115000,2
Zaghouan,,False,False,,Terrain agricole,False,43000,False
Ariana,,1,1,,Appartement s1 avec terrasse à la soukra MAL1306,À Louer,1200,1
Ben Arous,,190,4,,A vendre Maison R+1 Fouchena,À Vendre,269000,2
Sousse,,120,2,,à louer un s+2 a sahloul4,À Louer,1200,1
Sousse,,140,3,,à louer un s+3 à sahloul4,À Louer,1050,1
Sousse,,200,4,,à louer Duplex s+4 à khzema ouest,À Louer,1300,3
Sousse,,410,5,,"Deux appartement s+3, s+2 avec local commercial à vendre situé à hammem sousse",À Vendre,650000,2
Nabeul,S+1,74,1,,S+1 Vu Piscine à Vendre dans une belle résidence récemment construite avec piscine à AFH2 Mrezga Nabeul,À Vendre,270000,1
Ben Arous,,2600,1,,Site industriel à vendre dans la Z. I de Mghira,À Vendre,3,2
Tunis,S+3,145,3,,A vendre  S+3 haut standing à cité Wahat,À Vendre,360000,2
Tunis,,70,False,,Vente de Locaux Commerciaux à Ain Zaghoune Nord,À Vendre,416500,0
Ariana,,212,False,,Vente de Locaux Commerciaux avec Mezzanine à Soukra !,False,1272000,0
Tunis,,76.1,False,,A Louer - Locaux Commerciaux de Standing à Jardin de Carthage,À Louer,38050,2
Tunis,,100,False,,Vente de Fond de Commerce - Fast Food à Aouina,À Vendre,320000,1
Sousse,,81.2,False,,Vente de Locaux Commerciaux à Sousse,À Vendre,193256,0
Tunis,,65,False,,Location d’un Local Commercial à L’Aouina,À Louer,4000,0
La Manouba,,False,False,,À vendre : Terrain agricole à Borj El Amri,False,200000,False
Ariana,,1000,False,,Location de Dépôt de 1000 m² à Mnihla,À Louer,8000,1
Nabeul,,253,False,,"Vente de Locaux Commerciaux à Nabeul, Mrezga",À Vendre,1505350,1
Tunis,,200,0,,"Location d'Étages Personnalisables pour Laboratoires,Salles de Sport au Cœur d'El Kram",À Louer,,0
Nabeul,,480,False,,À Louer : Local Commercial au 1er Étage a Hammamet,À Louer,4500,0
Tunis,,55.75,False,,A Vendre de Locaux Commerciaux en Construction au Jardin de Carthage,À Vendre,473875,0
Tunis,,140,False,,Vente  de Locaux Commerciaux au Jardin de Carthage,À Vendre,1249500,0
Nabeul,,0,False,,Vente d’un Fonds de Commerce Restaurant à Hammamet Centre,À Vendre,200000,0
Tunis,,240,False,,A vendre Local Commercial Spacieux au Jardin de Carthage,À Vendre,1920000,False
Tunis,,44.928,False,,Vente de Locaux Commerciaux au Jardin de Carthage,À Vendre,427816,0
Tunis,,3300,False,,Location d'un Open Space,À Louer,40000,0
Tunis,,75,False,,Vente Fond de Commerce : Mini-Superette Clé en Main à Lac 3,À Vendre,150000,1
Ariana,,65,False,,Vente d'un Fonds de Commerce Restaurant Fast Food à Jardin d'El Manzeh 1,À Vendre,160000,1
Ariana,,90,False,,Vente d'un Fonds de Commerce Café à Manzeh 5,À Vendre,120000,1
Sfax,,123,123123,,d'ar déco sfaxiènne,À Vendre,123,123
Tunis,S+2,100,2,,Appartement meublé en S+2 à El Manar I,À Louer,950,1
Bizerte,,False,False,,قطعة أرض 392 متر مربع صالحة للبناء للبيع بعين مريم بنزرت شهادة ملكية فردية .,False,950,False
Sfax,S+3,100,3,,Appartement S+3,À Louer,,1
Sfax,,125,3,,Appartement s+3,À Louer,,1
Ariana,S+3,150,3,,🌟 🌟RIADH EL ANDALOUS ; à LOUER VILLA S+3 NEUVE 🌟 🌟,À Louer,1300,1
Tunis,S+1,60,1,,S+1 avec jardin  à El Manar I,À Louer,950,1
Ariana,,54,1,,avendre fond de commerce,À Vendre,50516006,2
Médenine,,False,3,,🌴𝐕𝐢𝐥𝐥𝐚 𝐑𝐲𝐚𝐝𝐡 🌴 𝘱𝘰𝘶𝘳 𝘭𝘢 𝘭𝘰𝘤𝘢𝘵𝘪𝘰𝘯 𝘢𝘯𝘯𝘶𝘦𝘭𝘭𝘦,À Louer,2500,2
Tunis,,120,6,,Bureau en 6 espaces - 120m²- Montplaisir- IFCM151,À Louer,2500,0
Tunis,,90,3,,Bureau en 3 espaces - 90m²- Montplaisir- IFCM147,À Louer,1000,0
Tunis,,80,5,,Bureau en 4 espaces - 80m² - Montplaisir -IFCM1,À Louer,1200,2
Ben Arous,,False,False,,Terrain à vendre boumhel,False,1550,False
Sousse,,False,False,,Un rez de chaussée avec deux appartement inachevées à vendre situé à zaouiet sousse,False,220000,False
Ben Arous,,20,1,,STUDIO A EZZAHRA,À Louer,200,1
Ben Arous,S+2,125,3,,APPART S+2 NEUF A EZZAHRA,À Louer,1200,1
Ben Arous,,120,3,,MAISON S2 MEUBLE A EZZAHRA,À Louer,120,1
Sousse,,128,2,,Maison a louer s+2,À Louer,,1
Ariana,,70,1,,Un s1 vide à soukra,À Louer,1100,0
Ben Arous,,153,2,,à vendre un appartement s+2 haut standing avec jardin indépendant à El Mourouj 6.,À Vendre,255000,2
Tunis,S+3,195,2,,A VENDRE S+3 – AIN ZAGHOUAN NORD – TEL 58713586 – FB.7135,À Vendre,570000,2
Ariana,S+1,65,1,,A VENDRE S+1 – CHOTRANA 1 – TEL 58713586 – FB.7130,À Vendre,165000,1
Ben Arous,,40,2,,**Annonce : Recherche colocataire**,À Louer,203,1
Ben Arous,,40,1,,LOCAL 40M2 A EZZAHRA,À Louer,1700,1
Ben Arous,,110,3,,appartement s+3 à vendre à boumhel,À Vendre,200000,2
Ben Arous,S+2,85,3,,APPART S+2 A EZZAHRA LOULIJA,À Louer,850,1
Tunis,,0,1,,À vendre Une pharmacie,À Vendre,,0
Tunis,,3000,0,,Immeuble à louer lac 3,À Louer,,0
Ariana,S+3,188,3,,À vendre Duplex S+3 Neuf à CHOTRANA 1,À Vendre,830000,2
Tunis,,700,0,,À vendre une villa/cité les pins Marsa,À Vendre,1900000,0
Tunis,S+2,117,2,,A vendre appartement S+2 haut standing à cité Wahat,À Vendre,285000,1
Ariana,,False,False,,Terrain  à  Vendre Chotrana 2,False,1000,False
Ariana,,False,False,,Terrain pour promotion,False,,False
Ariana,S+2,140,2,,Un appartement en S+2 POUR LOCATION /LA SOUKRA,À Louer,1600,2
Ben Arous,,600,5,,À vendre Villa mourouj 4,À Vendre,,4
Ariana,,0,0,,À louer centre de contact,À Louer,27000,0
Ben Arous,,120,2,,OPEN SPACE 120M2 A EZZAHRA,À Louer,1800,1
Ben Arous,,55,2,,STUDIO S1 MEUBLE A EZZAHRA,À Louer,90,1
Sfax,,False,False,,ارض للبيع في صفاقس طريق الافران,False,,False
Nabeul,,1000,5,,AV villa s+5 avec piscine à hammamet sud 99202001,À Vendre,650000,2
Ariana,,120,2,,S2 bureautique Ennaser 2,À Louer,1400,2
Ben Arous,,130,3,,A  louer etae de villa s+3 à nouvelle medina 3,À Louer,900,2
Tunis,S+2,117,2,,A vendre  S+2 haut standing  à l'aouina cité Wahat,À Vendre,270000,1
Sousse,,101,2,,S3 de 102m² jamais habité proche de la mer en vente,À Vendre,270000,1
Ben Arous,,240,4,,A louer etage de villa s+4,À Louer,1200,1
Sousse,,90,2,,S2 au RDC pied dans l'eau a chott mariem,À Vendre,420000,1
Sousse,,40,1,,Studio en vente dans une résidence avec piscine,À Vendre,130000,1
Sousse,,200,2,,S2 avec jardin de 100m² en vente,À Vendre,399999,1
Sousse,S+2,81,2,,S+2 en vente a chott mariem,À Vendre,217998,1
Sousse,,90,2,,S2 dans un petit immeuble pour location annuelle,À Louer,800,1
Sousse,,False,False,,Terrain habitation en vente a chott mariem,False,365000,False
Sousse,,280,4,,villa pour la location avec ou sans meubles,À Louer,1650,3
Sousse,,300,3,,villa indépendante pour la location annuelle,À Louer,1400,1
Nabeul,,69,1,,"A Vendre Un Belle Appartement Haut Standing Située à AFH Mrezga, Cité El Wafa, Nabeul",À Vendre,,1
Monastir,S+2,75,2,,appartement S+2 à vendre,À Vendre,113000,1
Mahdia,,False,False,,𝑻𝒆𝒓𝒓𝒂𝒊𝒏 𝑨̀ 𝑽𝒆𝒏𝒅𝒓𝒆 𝒔𝒖𝒓 𝒍𝒂 𝒓𝒐𝒖𝒕𝒆 𝒑𝒓𝒊𝒏𝒄𝒊𝒑𝒂𝒍𝒆 𝒂̀ 𝒉𝒊𝒃𝒐𝒖𝒏𝒆 𝑴𝒂𝒉𝒅𝒊𝒂,False,1350,False
Mahdia,,300,4,,𝒂̀ 𝒗𝒆𝒏𝒅𝒓𝒆 𝒎𝒂𝒊𝒔𝒐𝒏 𝒂𝒓𝒂𝒃𝒆 𝒆𝒏 𝒑𝒍𝒆𝒊𝒏 𝒄𝒆𝒏𝒕𝒓𝒆 𝒗𝒊𝒍𝒍𝒆,À Vendre,350000,1
Nabeul,,False,False,,2éme position a la plage ارض للبيع  في سيدي منصور قليبية 😍,False,159999,False
Kairouan,S+2,100,2,,Appartement S+2 Pour la location,À Louer,700,2
Sousse,,792,4,,Une villa triplex à vendre situé à kantaoui,À Vendre,1800000000,2
Ariana,,70,1,,Riadh el Andalous à louer s+1,À Louer,750,1
Ariana,,150,2,,a louer s+2 etage de villa avec terrasse,À Louer,900,1
Ariana,S+4,420,4,,🌟 Villa S+4 A vendre A ARIANA CITÉ Riadh El Andalous 🌟,À Vendre,980000,2
Ariana,S+4,420,4,,🌟 Villa S+4 A vendre A ARIANA CITÉ Riadh El Andalous 🌟,À Vendre,980000,2
Ariana,S+4,420,4,,🌟 Villa S+4 A vendre A ARIANA CITÉ Riadh El Andalous 🌟,À Vendre,980000,2
Ariana,S+4,420,4,,🌟 Villa S+4 A vendre A ARIANA CITÉ Riadh El Andalous 🌟,À Vendre,980000,2
Ariana,S+4,420,4,,🌟 Villa S+4 A vendre A ARIANA CITÉ Riadh El Andalous 🌟,À Vendre,980000,2
Ariana,S+4,420,4,,🌟 Villa S+4 A vendre A ARIANA CITÉ Riadh El Andalous 🌟,À Vendre,980000,2
Ariana,S+4,420,4,,🌟 Villa S+4 A vendre A ARIANA CITÉ Riadh El Andalous 🌟,À Vendre,980000,2
Ariana,S+4,420,4,,🔥 A VENDRE VILLA S+4 A ARIANA 🔥,À Vendre,980000,2
Ariana,S+4,420,4,,🔥 A VENDRE VILLA S+4 A ARIANA 🔥,À Vendre,980000,2
Nabeul,,False,False,,terrain à vendre,False,,False
Tunis,,120,2,,Appart S2 Youna à Louer à L'Aouina,À Louer,1600,1
Ben Arous,S+1,50,-1,,Appartement S+1 HST à Boumhel,À Vendre,290000,1
Ben Arous,,25,1,,local 20m² a vendre sans fond de commerce,À Vendre,70000,1
Ben Arous,,False,False,,Terrain 341m² à zaouia mornag,False,580,False
Ben Arous,,50,2,,"Deux locaux a vendre ""Mur""",À Vendre,170000,1
Ben Arous,S+2,80,1,,S+2 sur Le GP1,À Vendre,125000,1
Ben Arous,S+3,130,1,,S+3 HST a vendre,À Vendre,360000,2
Sousse,,False,False,,JOLIE TERRAIN A💥HAMMEM SOUSSE GRABI 2,False,60000,False
Sousse,S+2,100,2,,JOLIE APP S+2 A ROUTE DE LA PLAGE HAMMEM SOUSSE,À Louer,600,1
Sousse,S+2,90,2,,TRÈS CHIC APP S+2 NON MEUBLÈ A🔥SAHLOUL YASER ARAFET,À Louer,1000,1
Sousse,,False,False,,JOLIE TERRAIN A SANIT EL YAMNI💎HAMMEM SOUSSE,False,1200,False
Sousse,,False,False,,Terrain  à Koussour Gharnata  Chatt  Mariem sur un  Axe  Principale,False,326000,False
Sousse,S+2,111,2,,(S+2) à Sahloul Directe Promoteur,À Vendre,303900,2
Sousse,S+2,90,2,,TRÈS BELLE APPARTEMENT S+2 EN VENTE A🔥KHZAMA,À Vendre,200000,1
Sousse,,300,5,,Villa à Hammem  Sousse dans un Quartier  Calme,À Louer,2500,3
Sousse,S+2,95,2,,"(S+2) à Bouhsina el Ghazali, Directe Promoteur",À Vendre,255000,1
Sousse,,200,3,,Dépôt de 200 m2 à Khzama Ouest,À Louer,1000,2
Sousse,S+2,105,2,,(S+2) à Sahloul Directe Promoteur,À Vendre,373000,1
Sousse,S+2,90,2,,(S+2) à Bouhsina au  rez de  Chaussée,À Vendre,94000,1
Tunis,,40,2,,a vendre fond tout commerce,À Vendre,,1
Sousse,,434,4,,TRÈS BELLE VILLA DE 434 m² SUR DEUX FACADE PRÈS DE CARREFOUR❤AKOUDA,À Vendre,320000,2
Sousse,,449,6,,"Villa en Coin à Cité Riadh, Idéale pour  Habitation ou Projet  Commercial",À Vendre,580000,3
Sousse,,130,4,,PETITE VILLA STYLE AMÉRICAIN A KHZAMA EST,À Vendre,390000,2
Ariana,,80,2,,A LOUER UN APPARTEMENT S +2 A BORJ LWZIR ARIANA,À Louer,800,1
Monastir,,1200,6,,Deux villa style americain à vendre situé à monastir skanes,À Vendre,4200000000,2
Sousse,,131,3,,JOLIE APP PIED DANS L'EAU🌊A CHATT MARIEM,À Vendre,370000,3
Sousse,S+3,130,3,,TRÈS BEAU REZ DE CHAUSSÈE DE VILLA S+3 A🔥HAMMEM SOUSSE,À Vendre,175000,1
Ariana,S+2,1,2,,Duplex S+2 Riadh Andalouse Ariana,À Louer,980,2
Sousse,,100,3,,𝐀𝐏𝐏𝐀𝐑𝐓𝐄𝐌𝐄𝐍𝐓 𝐒+3 𝐄𝐍 LOCATION A 📍KHZAMA,À Louer,800,1
Sousse,S+2,95,2,,TRÈS CHIC APPARTEMENT S+2 MEUBLÈ A SAHLOUL YASER ARAFET,À Louer,750,1
Nabeul,,117,3,,Av 4 appartements pas loin de la mer99958728,À Vendre,520000,3
Tunis,,80,3,,hall plus 3 bureautique a el manar 2 wb3748,À Louer,1400,1
Ariana,,90,2,,rez de jardin s plus 2 meublé a el manzah 7 wb1334,À Louer,900,1
Ben Arous,,229,1,,local commrcial,À Vendre,380,2
Nabeul,S+1,69,1,,"A Vendre Appartement S+1 Haut Standing à AFH Mrezga, Nabeul",À Vendre,,1
Tunis,,60,1,,studio meubél au rez de jardin a el manzah 9b wb1623,À Louer,1000,1
Tunis,,100,2,,s plus 2 a jeanne d'arc wb3849,À Louer,1000,1
Tunis,,100,2,,A louer un bureau H2  aux jardins de l'aouina,À Louer,2400,2
Ariana,,112,3,,A louer cite Hedi nouira borj Louzir Ariana S+ 2,À Louer,850,1
Sfax,,42,1,,a louer magasin 42 m2,À Louer,,1
Tunis,,40,1,,A louer un studio meublé à Sidi Bousaid,À Louer,1600,1
Ariana,S+3,128,3,,Appartement S+3 HTS à la cité Hedi Nouira Ariana,À Louer,1200,2
Ariana,,110,3,,etage de villa s plus 3 a riadh landalos wb4011,À Louer,1100,1
Ariana,,50,1,,studio s0 meublé a el manzah 8 wb3944,À Louer,700,1
Ariana,,1,1,,Studio Meublé cité Ghazella Ariana,À Louer,750,1
Nabeul,,400,4,,A vendre :  Villa de lux avec piscine 200m de la plage Mimosa Mrezga Nabeul,À Vendre,850000,2
Tunis,,100,2,,s plus 2 a usage bureautique a mutuelle ville wb3264,À Louer,1200,1
Ariana,,50,1,,s0 meublé a ennasr 2 wb2536,À Louer,800,1
Tunis,S+2,90,2,,A LOUER UN ÉTAGE DE VILLA S+2 MEUBLE A AIN ZAGHOUAN,À Louer,800,1
Ariana,,100,3,,s plus meublé a la cité nozha wb3534,À Louer,1000,1
Tunis,,100,2,,s plus 2 meublé a la cité wahat wb3887,À Louer,1600,1
Nabeul,,False,False,,Terrain agricole 19801 m² Route Harrouri Kelibia,False,240000,False
Tunis,,740,6,,villa anastasia a vendre a menzah 7,À Vendre,1900000,5
Tunis,S+3,150,3,,A louer S+3 spacieux à l'aouina cité wahat,À Louer,1350,3
Tunis,S+1,80,2,,S+1 meublé à lafayette,À Louer,,1
Ariana,,140,4,,etage de villa s plus 4 a ennasr 1 wb1179,À Louer,1400,1
Nabeul,,False,False,,Terrain d’habitation 264 m² à cité riadh 2 Kelibia,False,170000,False
Ariana,,84,2,,bureau hall plus 3 a l'ariana wb1039,À Louer,850,1
Sousse,,70,1,,TRES CHIC BUREAU + PARKING SOUS SOL A🔶HAMMEM SOUSSE,À Louer,750,1
Tunis,S+2,200,2,,BUREAU S+2 A LES JARDINS DE L'AOUINA,À Louer,1900,2
Tunis,,145,3,,s plus 3 a el manar 1 wb2556,À Louer,900,1
Ariana,,110,3,,etage de villa hall plus 3 a l'ariana wb4027,À Louer,1200,1
Sousse,,False,False,,TRES JOLIE TERRAIN A VENDRE,False,225000,False
Ariana,,90,3,,etage de villa s plus 3 a l'ariana wb4028,À Louer,1100,1
Tunis,,80,3,,s plus 3 bureautique a alain savary wb3221,À Louer,1150,1
Nabeul,,1200,3,,Av maison 1200m non fini à Hammamet sud ❌99958728❌,À Vendre,155000,2
Nabeul,S+1,70,1,,"A Louer Appartement S+1 Haut Standing à AFH Mrezga, Nabeul",À Louer,,1
Ariana,S+0,40,1,,APPT S+0 MEUBLEE PRES LC WAIKIKI,À Louer,1100,1
Tunis,,140,3,,A vendre un appartement s3 a l’aouina citè wahat,À Vendre,300000,2
Tunis,S+1,75,1,,APPT S+1 A CITEE EL WAHAT,À Louer,1150,1
Tunis,,70,1,,Coquet appartement pour vos courts séjours dans la banlieu de Tunis,À Louer,90,1
Ariana,S+2,85,3,,Appartement S+2 Ariana au RDC,À Louer,600,2
Nabeul,,False,False,,A    vendre          📞28256772📞,False,,False
Sousse,,170,3,,Villa à deux étages entrées séparés,À Vendre,2,2
Nabeul,,False,1,,À LOUER À YASMINE HAMMAMET,À Louer,800,1
Ariana,S+3,120,3,,APPT S+3 A ARIANA,À Vendre,180000,2
Tunis,,75,1,,slpendide appartement pour vos vacances dans la banlieu de Tunis,À Louer,90,1
Nabeul,,150,2,,pieds dans l eau hammamet nord,À Louer,120,2
Tunis,,60,-1,,A louer S1 haut standing à l'aouina,À Louer,950,1
Tunis,S+1,90,1,,A louer  S+1 meublé haut standing  à l'aouina cité wahat,À Louer,1000,1
Tunis,,False,False,,TERRAIN A CITEE EL WAHAT LEHNEYA,False,255000,False
Ariana,S+1,50,1,,S+1 à Cité sahafa,À Louer,450,1
Ben Arous,,90,1,,Appart S3 Tanit à Louer à Mégrine,À Louer,1300,3
Tunis,S+1,92,1,,A louer S+1 haut standing jamais habité à l'aouina cité wahat,À Louer,901,1
Ariana,,75,1,,S1 meublé Ennasr2 pour étranger haut standing très propre,À Louer,1200,1
Tunis,,180,4,,DUPLEX BUREAUTIQUE AU LAC2,À Louer,3300,2
Nabeul,S+2,150,2,,S+2 avec jardin,À Louer,1150,1
Tunis,,104,2,,S2 meublé proche lac2 Excellent pour étranger à l'année,À Louer,1250,1
Tunis,S+1,50,2,,BUREAU S+1 A AIN ZAGHOUAN,À Louer,1300,2
Bizerte,,206,3,,Villa à Vendre à Jarzouna Bizerte - vue de mer,À Vendre,470000,2
Tunis,S+4,209,4,,S+4 meublé Proche lac2 Neuf pour étranger à l'année,À Louer,2200,2
Tunis,S+2,100,2,,A vendre  S+2 haut standing à l'aouina cité wahat,À Vendre,240000,1
Nabeul,,False,False,,📌Une bonne opportunité d’investir à SOLIMAN,False,700000,False
Ariana,,90,6,,"Maison a vendre, deux etages R+1, à Ariana",À Vendre,360000,2
Tunis,S+1,1000,0,,Un S+1 1ère étage  met en location au cité ROMENA1 BARDO,À Louer,,1
Tunis,,140,3,,Apartment Haut Standing à Carthage,À Louer,1500,3
Ariana,,1000,1,,Local à Menzah 7,À Louer,5000,2
Ariana,,100,2,,"A louer  S2 spacieux 
ENKHILETTE",À Louer,730,1
Tunis,,111,3,,A El Ouardia à vendre un appartement s+3 très propre - en face battoir.,À Vendre,,2
Nabeul,,False,False,,📌Une bonne opportunité d’investir à AZMOUR KLIBIA,False,50000,False
Tunis,,False,False,,Terrains R+2 à l'Aouina,False,680000,False
Ben Arous,,92,2,,à vendre un appartement s+2 haut standing - RDC - à El Mourouj 6.,À Vendre,220000,1
Ben Arous,,16,1,,A vendre un #Studio  S0 RDC  à El Mourouj 5.,À Vendre,40000,1
Tunis,S+1,92,1,,A louer S+1 jamais habité haut standing à l'aouina cité wahat,À Louer,900,1
Ben Arous,,600,1,,Local 600 m² à Megrine St. Gobain,À Vendre,95000,2
Tunis,,437,5,,terrain a france ville el omrane,À Vendre,950,1
Tunis,,260,6,,Des Duplex à Vendre à Gammarth,À Vendre,880000,4
Ariana,,200,1,,Local 200 m² à Ennasr 2,À Louer,3150,2
Tunis,,150,3,,à Vendre un  appartement s3 à L'aouina Hay el Wahat,À Vendre,390000,2
Nabeul,,False,False,,Terrains à El Haouaria,False,1000,False
Ariana,,320,5,,VILLA A VENDRE A LA SOUKRA,À Vendre,510000,3
Sousse,,265,2,,Duplex avec piscine privative en vente à Hergla,À Vendre,719998,1
Sousse,,False,False,,Terrain résidentiel en vente,False,250000,False
Sousse,S+2,94,2,,Appartement S+2 en vente,À Vendre,225000,1
Sousse,S+2,112,2,,Appartement S+2 en vente,À Vendre,215000,1
Sousse,S+2,85,3,,Appartement S+2 - Sousse - Corniche,À Louer,120,1
Sousse,,34,1,,Studio direct promoteur a corniche  hergla,À Vendre,139586,1
Tunis,S+2,92,2,,A louer S+2  haut standing à l'aouina cité wahat,À Louer,1000,1
Ben Arous,,98,3,,Vente duplex s3 avec entrée voiture a Nouvelle Madina cité prime,À Vendre,197000,1
Sousse,S+2,111,2,,Appartement S+2 en vente,À Vendre,210000,1
Ben Arous,,152,4,,Appartement s+4 à Ezzahra,À Vendre,380000,2
Nabeul,,False,False,,📌Une bonne opportunité d’investir à AZMOUR KLIBIA,False,50000,False
Ben Arous,,117,2,,à vendre un appartement s+2 très haut standing à El Mourouj6.,À Vendre,,2
Ariana,,400,0,,Un Joli Triplex  avec jardin à louer à La Soukra,À Louer,5500,0
Sousse,,100,2,,un joli appartement s+2 haut gamme haut standing,À Louer,1200,1
Tunis,S+3,178,3,,Penthouse S+3 Vide à vendre à l'aouina,À Vendre,470000,2
Ben Arous,,53,1,,"à vendre  local commercial à El Mourouj 6 - en face "" lycée Al Ahdeth """,À Vendre,180000,1
Ariana,S+2,124,2,,Un Appartement S+2 à louer à La Soukra,À Louer,1699,1
Tunis,S+3,154,2,,Appartement S+3 Vide à vendre,À Vendre,420000,1
Ben Arous,,75,2,,Offre de vente appartement s+2 à El Mourouj 5 - juste à coté Kiosque Agil.,À Vendre,100000,1
Ariana,,155,3,,Un Superbe Etage de Villa à louer à La Soukra,À Vendre,1900,2
Ariana,S+2,125,2,,Un Appartement S+2 Meublé à La Soukra,À Louer,1800,0
Tunis,S+3,210,1,,Etage de villa S+3 meublé à louer à l'aouina,À Louer,2900,1
Ben Arous,,140,2,,Appartement s+2 vue sur mer à Ezzahra,À Louer,,1
Ariana,S+5,300,3,,Triplex S+5 à Vendre à La Soukra,À Vendre,870000,1
Ben Arous,,70,1,,#Location_Meublé   Appartement meublé s+1 très haut standing à #El_Mourouj_6.,À Louer,100,1
Tunis,S+2,90,2,,A louer   S+2 jamais habité haut standing à l'aouina cité wahat,À Louer,1000,1
Ariana,,False,False,,Terrains 1000 m² à Chotrana 1,False,250000,False
La Manouba,,False,False,,Terrain à vendre,False,47000,False
Ben Arous,,120,3,,A louer un appartement de type s+3 à nouvelle médina3,À Louer,800,1
Ben Arous,,100,2,,#Location_Meublé  Appartement meublé s+2 très propre haut standing à #El_Mourouj_6.,À Louer,110,1
Ariana,,50,0,,Un local à louer à ennaser 2,À Louer,1500,0
Ben Arous,,90,2,,A louer un appartement meublé s+2 à El Mourouj 5.,À Louer,80,1
Ariana,,500,0,,à Louer un local à La Soukra à Chotrana 3,À Louer,20,0
Tunis,,0,1,,"a vendre s+1 haut standing 
a cite el wahat laouina direct promoteur",À Vendre,176000,1
Tunis,,70,1,,s+1 jamais habite avec place parking ss,À Louer,1100,1
Ben Arous,,100,2,,#Location_Meublé. Appartement meublé s+2 très haut standing à #El_Mourouj_6.,À Louer,120,1
Ariana,,117,2,,A vendre un appartement s2 haut standing direct promoteur a la nouvelle soukra avec place parking sous sol,À Vendre,,2
Ariana,S+2,110,2,,4 Appartements S+2 Neuf à louer à La Soukra,À Louer,1400,1
Tunis,,140,3,,A vendre un appartement s3 a l’aouina citè wahat,À Vendre,300000,2
Tunis,,48,1,,A vendre des appartements s+1 s+2 direct promoteur a la nouvelle soukra En cours de construction,À Vendre,171000,1
Tunis,S+3,120,3,,ETAGE DE VILLA S+3 A L'AOUINA,À Louer,1000,1
Tunis,,50,1,,"A vendre s+1 direct promoteur 
enregistrement 1%",À Vendre,167000,1
Tunis,S+2,150,2,,Un Appartement S+2 meublé avec jardin à Ain Zaghouan Nord,À Louer,2500,0
Ariana,S+2,129,1,,Appartement S+2 direct promoteur à vendre,À Vendre,410000,0
Ariana,,230,5,,Une Villa jumelée à vendre à La Soukra,À Vendre,,0
Ben Arous,,30,1,,Local Commercial Jelma à Louer à Mégrine,À Louer,1000,1
Médenine,,False,False,,Av Terrain à Djerba El Hachane Avec Titre foncier individuel,False,250000,False
Ariana,,120,3,,Station service à Charguia 1,À Louer,1300,2
Ben Arous,,220,4,,A Ezzahra - tt prés rond point 🎻الكمنجة vers route rades -  un DUPLEX 💒 A vendre,À Vendre,,2
Ariana,,85,2,,s+2 nour jaafer,À Louer,550,1
Tunis,S+3,False,3,,À LOUER : Un Duplex S+3 ( meublé ) situé à La Marsa,À Louer,2300,0
Tunis,S+2,False,2,,A LOUER : Un appartement S+2 situé à La Nouvelle Soukra ( ‼️Jamais habité ‼️ ),À Louer,1350,False
Ben Arous,,120,3,,Appart S3 Louiza à Louer à Ezzahra,À Louer,1300,1
Tunis,S+1,False,1,,A LOUER : Un appartement S+1 situé au Jardin de L'Aouina,À Louer,1100,False
Tunis,S+2,False,2,,À LOUER : Un appartement S+2 situé au L'Aouina,À Louer,1200,False
