Type de bien,Localisation,Annonce,Configuration des pièces,Type de transaction,Salles de bains,Superficie,Prix,Chambres
,Ariana,Appartement tout neuf à Borj Louzir,,À Louer,1,46,580,1
,Ben Arous,Un Depot de 1000 m² à Zone Industrielle Ben Arous,,À Louer,0,1000,7000,0
,Ben Arous,Un Depot de 1000 m² à Zone Industrielle Ben Arous,,À Louer,0,1000,7000,0
,Nabeul,ارض للبيع,,False,False,False,,False
,Ben Arous,Un dépôt de 245 m² à sidi rezig,,À Louer,0,245,3300,0
,Tunis,s1 à cité wahat,,À Vendre,1,58,195,1
,Tunis,S2 R2 vide jardin de carthage nouvelle resedanse 22035107,,À Louer,2,1,1900,2
,Sousse,"Villa de Charme , Coup de Coeur à Cité el Ghazali",,À Vendre,2,1220,1400000,7
,Sousse,Villa à Khezema Ouest proche de Toutes Commodités,,À Vendre,5,309,700000,7
,Tunis,A louer appartement S+3 à Bardo,S+3,À Louer,1,130,950,3
,Nabeul,𝔸 𝕍𝔼ℕ𝔻ℝ𝔼 un bel appartement à Mrezga 29256226,,À Vendre,1,100,,2
,Tunis,À LOUER Plateau spacieux 270 m2 au CUN,,À Louer,2,270,4000,7
,Tunis,AL Bureau H+2 HTS au Centre Urbain Nord,,À Louer,1,95,2000,3
,Sfax,vente,,False,False,False,68000,False
,Tunis,A louer Bureau H2 neuf au CUN,,À Louer,1,70,1450,2
,Tunis,A vendre un lot de 425m² à l'aouina,,False,False,False,2550,False
,Nabeul,Rez de chaussé à 50 mètres corniche  el Marsa Kelibia,,À Vendre,1,100,195000,2
,Tunis,"A vendre un appartement S+3 à cité wahat , laouina",S+3,À Vendre,2,138,280000,3
,Sousse,appartements 163 m2 à vendre à Tantana Chatt Mariem,,À Vendre,1,163,310000,2
,Tunis,Un bel appartement richement meublé,,À Louer,3,170,3000,3
,Ariana,a louer s1 s2 meuble a cite nasser 50126499,,À Louer,1,111,100,1
,Sousse,appartements 163 m2 à vendre à Tantana Chatt Mariem,,À Vendre,1,163,310000,2
,Ariana,a louer s1 s2 meuble a cite nasser 50126499,,À Louer,1,111,100,1
,La Manouba,terrain agricole à jedaida,,False,False,False,,False
,Sfax,منزل و مخزن للكراء,,À Louer,2,700,,5
,Béja,Villa beja,,À Vendre,2,270,320,6
,Tunis,A vendre un appartement S+1 aux jardins de Carthage,S+1,À Vendre,1,72,320000,1
,Ariana,A vendre S+2 cité Ennasr1,S+2,À Vendre,1,84,290000,2
,Nabeul,A VENDRE Un appartement S+2 situé à Mrezga 21256909,S+2,À Vendre,1,93,,2
,Tunis,A vendre un appartement s+3 à gammarth,,À Vendre,2,160,480000,3
,La Manouba,Appartement S+3 à louer,S+3,À Louer,2,150,1150,3
,Tunis,A vendre S+2 haut standing à cité Wahat,S+2,À Vendre,2,120,335000,2
,Ariana,Appartement S+2 ERIHAB 1,S+2,À Louer,1,109,900,2
,Ben Arous,جميع اشغال البناء 52626338,,À Louer,1,100,300,3
,Tunis,A vendre une maison sur trois niveau bâtie sur terrain 100m2 au le kram ouest,,À Vendre,3,260,320000,5
,Ariana,Appartement S+2 ERIHAB 1,S+2,À Louer,1,109,900,2
,Tunis,A louer immeuble prestigieux 2000 m² Alain Savary,,À Louer,False,2000,,False
,Médenine,maison a louer,,À Louer,2,200,1200,3
,Tunis,A vendre appartement S+3 haut standing avec place de parking sous sol à Jardins de l’Aouina,S+3,À Vendre,2,147.6,370000,3
,Bizerte,Villa style américain Haut standing à Demna -Bizerte,,À Vendre,2,400,679999,3
,Ariana,A vendre un appartement en S+4 de 146m² à Ennasr,S+4,À Vendre,2,146,340000,3
,Nabeul,A vendre à Hammamet MONCHAR un terrain de 1000 m² à 220 dt/m²,,False,False,False,220000,False
,Sousse,S2 au RDC avec terrasse proche de la mer,,À Vendre,2,85,300000,2
,Sousse,terrain agricole en vente,,False,False,False,44000,False
,Sousse,Terrain habitation de 300 m² R+2,,False,False,False,210000,False
,Sfax,مشروع فلاحي,,False,False,False,,False
,Ariana,A vendre un S+2 de 97m² Net  à Ennasr,S+2,À Vendre,1,97,285000,2
,Nabeul,Appartements à 700 mètres plage Mansourah Kelibia,,À Vendre,1,100,140000,1
,Tunis,A vendre appartement s3 deux places place de parking a cité el wahatt,,À Vendre,2,145,280000,3
,Tunis,Villa Menard à Louer aux Berges du Lac 1,,À Louer,5,400,,5
,Ariana,Spacieux et lumineux appartement de 4 pièces à Ariana ville,,False,2,200,1200,4
,Tunis,A vendre appartement s2 haut standing a jardin de l'aouina,,À Vendre,1,107,255000,2
,Tunis,S+1 a louer Centre ville tunis,S+1,À Louer,1,1,530,2
,Monastir,À Vendre : Terrain en Bord de Mer à Dimess,,False,False,False,128450,False
,Sousse,Un studio s1 à louer situé à khzema ouest,,À Louer,1,90,600,1
,Ariana,TERRIN A VENDRE,,False,False,False,,False
,Tunis,a vendre appartement s3 avec place de parking sous sol a cité el wahatt,,À Vendre,2,140,320000,3
,Tunis,Villa Emiliana à Louer à La Marsa,,À Louer,3,320,3500,5
,Tunis,a vendre appartement s3 avec deux places de parking sous sol a cité el wahatt,,À Vendre,2,145,280000,3
,Sousse,Un studio s1 à louer situé à corniche,,À Louer,1,80,500,0
,Ben Arous,Immeuble INVEST Appolonie à Louer à Mégrine,,À Louer,False,1900,18000,False
,Tunis,La Marsa Bhar Lazreg A Louer une belle maison,,À Louer,1,150,650,3
,Ariana,Local commercial en gérance libre - 300m²-charguia 1-IFCC93,,À Louer,0,300,5335,1
,Tunis,A vendre appartement s2 spacieux a cite el wahatt,,À Vendre,1,109,215000,2
,Tunis,Appartement à Gammarth village,,À Louer,1,80,650,3
,Ariana,Bureau en 4 espaces -80m²- Ariana -IFCA64,,À Louer,0,80,1200,4
,Sousse,(S+2) à Bouhsina avec  Place de  Parking,S+2,À Louer,1,90,890,2
,Sousse,(S+2) à Sahloul Directe Promoteur,S+2,À Vendre,1,105,373000,2
,Sousse,Triplex indépendant (S+4) à Sousse Centre Ville,S+4,À Vendre,2,71,210000,5
,Sousse,"Terrain destiné pour une Promotion Immobilière, Fait l'angle à Bouhsina",,False,False,False,550000,False
,Sousse,"(S+2) à Cité Riyadh , Directe promoteur",S+2,À Vendre,1,82,180000,2
,Nabeul,Terrain à vendre à Borj Cedria - Plage El Jahmi,,False,False,False,470,False
,Ben Arous,Argentiere à vendre,,False,False,False,,False
,Ariana,a vendre des s+1 s+2 s+3 très HTS neuf direct promoteur  résidence R+3 a cité ennaser,,À Vendre,1,1,4200,1
,Nabeul,S2 spacieux dans une résidence gardée avec piscine à l'AFH Mrezga,,À Louer,1,110,,2
,Sousse,𝑻𝒆𝒓𝒓𝒂𝒊𝒏 𝑨𝒈𝒓𝒊𝒄𝒐𝒍𝒆𝙰 𝚅𝙴𝙽𝙳𝚁𝙴📣𝟐𝟏𝟒𝟕 𝓶² 💥,,False,False,False,171760,False
,Tunis,Triplex Sant Antoni à Louer à Gammarth,,À Louer,4,280,4200,5
,Monastir,Appartement meublé Monastir Skanes,,À Louer,1,85,,2
,Nabeul,A vendre S2 de 200m² pieds dans l'eau vue mer à Hammamet,,À Vendre,3,200,,2
,Ariana,Appartement S+1 à louer à cité el ghazela,S+1,À Louer,0,70,1200,1
,Tunis,a vendre une villa de maitre 3 niveaux de 800m2 a manzah 1,,À Vendre,5,800,,6
,Sfax,À louer : Appartement S+3 haut standing meublé à Sfax,S+3,À Louer,2,163,,3
,Tunis,A LOUER S+1 – SIDI DAOUED – TEL 53672333– FB.7052,S+1,À Louer,1,120,1248,-1
,Tunis,A LOUER S+1 – JARDIN DE CARTHAGE – 51004658 –7045,S+1,À Louer,1,100,1352,1
,Ben Arous,Espace bureautique à Mégrine coteau -93974850,,À Louer,3,350,2700,9
,Tunis,A VENDRE S+2 – AL WAHAT –53672333 – FB.7054,S+2,À Vendre,1,127,400000,2
,Ariana,A VENDRE VILLA – SOUKRA – TEL 53672333– FB.7059,,À Vendre,3,380,989999,4
,Tunis,A LOUER S+2 – JARDIN DE CARTHAGE – 53672333– FB.7063,S+2,À Louer,2,113,2400,2
,Tunis,A VENDRE S+1 – CITE EL WAHAT – 53672333– FB.7099,S+1,À Vendre,1,65,230000,-1
,Tunis,A VENDRE – UN DUPLEX– LA SOUKRA – TEL 53672333 – FB.7120,,À Vendre,7,150,449998,5
,Tunis,A LOUER S+2 – KRAM – TEL 53672333-FB.7101,S+2,À Louer,1,92,850,2
,Ariana,A louer une villa duplex avec jardin à la soukra,,À Louer,5,300,2550,3
,Tunis,A LOUER S+2 – AIN ZAGHOUAN NORD– 53672333– FB.7174,S+2,À Louer,1,120,1400,2
,Tunis,A louer appartement moderne S1 à Mutuelle ville,,À Louer,1,50,1700,1
,Ariana,a vendre appartement s+2 avec parking sous-sol haut standing a cité ennaser,,À Vendre,2,113,335000,2
,Tunis,A LOUER S+1 – BHAR LAZREK – TEL 53672333– FB.7191,S+1,À Louer,1,50,850,-1
,Sfax,Appartement  A LOUER Meuble clim,,À Louer,1,75,599,2
,Tunis,A VENDRE S+3 – CITE WAHAT – TEL 53672333– FB.6214,S+3,À Louer,2,138,290000,3
,Tunis,A VENDRE S+1- CITE EL WAHAT – TEL 53672333– FB.6916,S+1,À Vendre,1,55,184997,1
,Ariana,A LOUER UN ÉTAGE DE VILLA S+2 A LA SOUKRA,S+2,À Louer,1,95,800,2
,Ben Arous,Maison a vendre a Rades chatt,,À Vendre,1,100,130000,4
,Ariana,A LOUER BUREAU S+3 ET S+2 – ARIANA – TEL 53672333– FB.7213,S+3,À Louer,1,101,1150,1
,Tunis,A LOUER S+1 – AIN ZAGHOUAN – 53672333 – FB.7220,S+1,À Louer,1,60,1400,1
,Tunis,A LOUER – S+2 – CITE EL WAHAT – TEL 53672333– FB.7076,S+2,À Louer,1,100,1299,2
,Ariana,🏠 𝐄𝐍𝐍𝐀𝐒𝐑 2 ; à LOUER coquet 𝗮𝗽𝗽𝘁 𝐒+2 bien situé 🏠,,À Louer,1,90,,2
,Tunis,A LOUER S+1 – BHAR LAZREK – TEL  56306032 – FB.7191,S+1,À Louer,1,50,850,1
,Nabeul,Appartements à 500  de plage à jinan el mansourah kelibia,,À Vendre,1,100,220000,2
,Sousse,appartement,,À Louer,1,115,800,3
,Tunis,location appartement meublé par jour trois chambres salon à Tunis route la Marsa cité les palmeraies,,À Louer,2,150,90,4
,Ben Arous,"""Appartement à louer""",,À Louer,1,104,950,3
,Sousse,appartement,,À Louer,1,80,850,1
,Sousse,Duplex S+4 avec entrée indépendante,S+4,À Vendre,1,138,187000,4
,Sousse,immobilier à louer R+2 avec un petit jardin et des balcons,,À Louer,1,150,,3
,Tunis,location appartement meublé par jour une chambre salon à Tunis route la Marsa cité les palmeraies résidence gardée jour et nuit,,À Louer,1,65,80,2
,Tunis,Bureau en 4 espaces - 161m²- Lac 2- IFCL2131,,À Louer,0,161,3700,4
,Sousse,Bureau A+1 avec place parking,,À Louer,1,44,850,1
,Jendouba,Terrain titré vue sur mer zone touristique Larmel Tabarka,,False,False,False,430000,False
,Monastir,🏠 maison r+2,,À Vendre,2,173,620,3
,Tunis,Des bureaux à louer - Lac 3- IFCL322,,À Louer,0,453,280,0
,Nabeul,appartement à vendre à yasmine hammamet,,À Vendre,1,300,,2
,Nabeul,"A Vendre un S+1, en cours de construction, dans une résidence avec piscine à AFH Mrezga Nabeul.",S+1,À Vendre,1,68,277000,1
,Ariana,Location d un local bureautique s+2,,À Louer,1,44,700,2
,Tunis,vente terrain,,False,False,False,50400,False
,Tunis,appartement,,À Louer,1,80,110,1
,Tunis,appartement,,À Louer,2,90,220,3
,Tunis,a louer un bureau S4 Lafayette,,À Louer,1,105,900,4
,Tunis,jolie duplex avec piscine,,À Louer,2,150,320,3
,Tunis,studio s+1,,À Louer,1,80,120,1
,Tunis,appartement s2,,À Louer,1,90,200,2
,Tunis,appartement s2,,À Louer,1,72,1200,2
,Tunis,Studio Straub Meublé à Louer à La Marsa,,À Louer,1,90,1200,1
,Tunis,Etage de Villa Dacca Meublé à Louer à La Marsa Ville,,À Louer,2,100,2200,2
,Tunis,A VENDRE S+2 – WAHAT – TEL 58713586 – FB.7218,S+2,À Vendre,1,80,250000,2
,Tunis,Villa Mascate à Louer à La Marsa,,À Louer,1,100,2300,3
,Tunis,à côté de Carrefour La marsa,,À Louer,2,156,1850,3
,Nabeul,duplex s+4 de 500m à hammamet sud 📞99202001📞,,À Vendre,2,500,235000,3
,Tunis,RDC de Villa Loulou Meublé à Louer à La Marsa Ville,,À Louer,1,80,3200,3
,Tunis,Bureau en 3 espaces - 70m²-Tunis- IFCT280,,À Louer,0,70,1320,3
,Tunis,appartement meublé s+1 par jour,,À Louer,1,70,100,1
,Jendouba,Chalet pied de la montagne à la compagne de fougères de cromer à Ain drahem,,À Louer,2,200,100,3
,Kairouan,Appartement S+2 A Louer,S+2,À Louer,1,100,600,2
,Mahdia,A vendre : appartement S+2 à zone touristique Mahdia,S+2,À Vendre,01,96,276000,02
,Tunis,RDC de Villa S3 Vesela  Meublé à Louer à Carthage Salambo,,À Louer,1,180,2400,3
,Tunis,S+1 NEUF nouvelle soukra pas loin de la clinique LA SOUKRA,S+1,À Louer,1,54,980,1
,Tunis,RDC de Villa S2 Zora Meublé à Louer au Kram EST,,À Louer,2,180,1800,2
,Tunis,appartement s+3,,À Louer,1,120,1500,3
,Tunis,Etage de Villa Nectar à Louer au Kram,,À Louer,2,100,1200,3
,Tunis,RDC de Villa Casper à Louer à Carthage EL Yasmina,,À Louer,1,100,900,2
,Tunis,Appart S1 Jason Meublé à Louer à La Marsa,,À Louer,1,60,1400,1
,Sousse,أرض للبيع في سوسة,,False,False,False,545,False
,Ben Arous,Dépôt Roydah à Louer à Mornag,,À Louer,1,112,1500,1
,Tunis,Etage de Villa Arine à Louer à La Marsa,,À Louer,1,120,2000,3
,Tunis,A LOUER S+1 – AIN ZAGHAOUN – TEL 58713586– FB.7198,S+1,À Louer,1,64,850,1
,Tunis,Etage de Villa S1 Cynda Meublé à Louer à La Marsa Plage,,À Louer,1,60,1600,1
,Sousse,un bureau A+2 à sahloul,,À Louer,1,95,700,2
,Tunis,Duplex Victoria à Louer au Kram,,À Louer,2,320,1250,5
,Tunis,Bureau H3 Seldanim à Louer à EL Kasbah,,À Louer,1,84,1700,3
,Nabeul,a vendre villa hammamet nord,,À Vendre,2,535,910,4
,Tunis,A louer un appartement S1 meublé à cité les palmerais,,À Louer,1,70,1400,1
,Tunis,Bureau H2 Yemek à Louer à EL Kasbah,,À Louer,1,51,1200,2
,Ariana,🏠 𝐄𝐍𝐍𝐀𝐒𝐑 ; 𝐚̀ 𝐋𝐎𝐔𝐄𝐑 𝐣𝐨𝐥𝐢 𝐀𝗽𝗽𝘁 𝐒+𝟐 𝐇𝐚𝐮𝐭 𝐬𝐭𝐚𝐧𝐝𝐢𝐧𝐠 🏠,,À Louer,2,130,1300,2
,Ariana,🏠 BORJ LOUZIR ; 𝙖̀ 𝙡𝙤𝙪𝙚𝙧  RDC de  villa 𝙎+3 🏠,,À Louer,1,150,,3
,Sousse,S+2 moderne avec place parking,S+2,À Vendre,1,94,218000,2
,Ariana,🏠 Cité La Gazelle ; 𝙖̀ 𝙡𝙤𝙪𝙚𝙧 joli Etage de  villa 𝙎+3 🏠,,À Louer,1,150,,3
,Tunis,A louer S3 avec jardin Cité Des Juges,,À Louer,2,120,2100,3
,Tunis,A louer plateau 732 m² aux Berges Du Lac 3,,À Louer,7,732,13420,2
,Tunis,A louer plateau 415 M² en  H11 au Lac 3 Kram,,À Louer,6,415,8300,11
,Nabeul,A vendre terrain de 940m2 à Hammamet zone craxy,,False,False,False,282000,False
,Sousse,TRES CHIC BUREAU + PARKING SOUS SOL A🔶HAMMEM SOUSSE,,À Louer,1,70,750,1
,Sousse,TRÈS CHIC APP S+2 VUE SUR MER😍A CHATT MARIEM,S+2,À Louer,1,91,750,2
,Sousse,VILLA STYLE  AMERICAN A❤KANTAOUI,,À Vendre,3,640,1900000,6
,Sousse,𝐀𝐏𝐏𝐀𝐑𝐓𝐄𝐌𝐄𝐍𝐓 𝐒+3 𝐄𝐍 LOCATION A 📍KHZAMA,,À Louer,1,100,800,3
,Ben Arous,VENTE OU LOCATION BUREAU S+1 A EZZAHRA,S+1,À Louer,1,64,850,1
,Sousse,LOCAL COMMERCIAL FOND ET MURE A⛔LA ZONE TOURISTIQUE DE HAMMEM SOUSSE,,À Vendre,1,39,165000,1
,Sousse,TRÈS CHIC APPARTEMENT S+2 MEUBLÈ A SAHLOUL YASER ARAFET,S+2,À Louer,1,95,750,2
,Nabeul,A vendre terrain de 1237m² vue mer à Hammamet zone craxy,,False,False,False,520000,False
,Monastir,Joli appartement  pour location vacances🤗 🔝.,,À Louer,1,100,,-1
,Sfax,Salon bon occasion,,À Vendre,1,000,1900,1
,Ariana,A loué un bureau ou stockage s+2,,À Louer,1,44,700,2
,Ben Arous,Appartement S+2,S+2,À Vendre,1,114,170,2
,Ben Arous,À louer appartement S+2 HST à Mrj 6 /98380449,S+2,À Louer,1,100,,2
,Ben Arous,Apparemment S+2 HST jamais habiter Mrj 6 / 98380449,S+2,À Louer,2,116,,2
,Ariana,"studio à louer pour les étudiants s+1 , Ariena",,À Louer,1,False,,2
,Tunis,A louer Appartement S+2 au Bardo,S+2,À Louer,1,95,1000,2
,Ben Arous,A VENDRE VILLA 2 S+7 NEUVE A MEDINA JADIDA 3,S+7,À Vendre,3,436,,7
,Nabeul,Maison pieds dans l’eau à plage Ain Grinz Kelibia,,À Vendre,3,280,1350000,6
,Monastir,Terrain à vendre 🔥Monastir,,False,False,False,,False
,Ben Arous,A louer Appartement s1 à Boumhel Bassatine,,False,False,False,820,False
,Ariana,colocation,,À Louer,1,120,250,1
,Sousse,(S+3) à Sahloul Directe Promoteur,S+3,À Vendre,2,140,359600,3
,Nabeul,S+1 Vu Piscine à Vendre dans une belle résidence récemment construite avec piscine à AFH2 Mrezga Nabeul,S+1,À Vendre,1,74,270000,1
,Tunis,Duplex Solandria à Louer à La Marsa,,À Louer,2,160,1200,2
,Sfax,Bureau à louer,,À Louer,1,110,,2
,Sousse,Maison  à  Cité Riadh  Ouvre sur deux  Façades,,À Vendre,1,140,155000,2
,Sousse,(S+3) à Bouhsina el Ghazali  Directe Promoteur,S+3,À Vendre,1,143,380000,3
,Tunis,Gérance Haarisah à Louer à La Marsa,,À Louer,1,60,2000,1
,Tunis,شقق مفروشة للايجار في تونس العاصمة للعائلات باليوم 46347310,,À Louer,1,200,80,2
,Ariana,🏠 𝐄𝐍𝐍𝐀𝐒𝐑 2 ; à LOUER  Agréable  𝗮𝗽𝗽𝘁 𝐒+3 haut stg🏠,,À Louer,3,170,,3
,Tunis,A louer un local commercial,,À Louer,1,60,2100,1
,Nabeul,deux hectares avec chalet a menzel bouzelfa,,False,False,False,,False
,Nabeul,Av villa 700m meublé avec piscine à Hammamet sud,,À Vendre,2,700,590000,3
,Sousse,un lot de terrain entre sahloul et khzema gharbia,,False,False,False,1350,False
,Tunis,Appart S1 Vert de Lune Meublé à Louer à Sidi Bou Said,,À Louer,1,60,1700,1
,Tunis,Villa Dikemark à Louer à Gammarth,,À Louer,4,400,2600,5
,Ariana,Terrain habitation collective en vente,,False,False,False,1969000,False
,Tunis,RDC de Villa Izmir à Louer à Carthage Amilcar,,À Louer,2,150,3300,1
,Nabeul,Av terrain de 200m à Hammamet sud 99958728,,False,False,False,42000,False
,Nabeul,للبيع ارض تمسح هكتار على الطريق بالحمامات 99958728,,False,False,False,125000,False
,Tunis,Joli appart S1 bien meublé Jardins l'aouina,,À Louer,1,55,950,1
,Tunis,JOLI STUDIO COMME NEUF CÔTÉ MONOPRIX WEHAT L'AOUINA,,À Louer,1,55,850,1
,Monastir,jolie appartement a monastir🤗💡,,À Louer,1,80,,2
,Tunis,A louer hall+5 à Mutuelle ville,,À Louer,1,125,2200,4
,Sousse,شقة مؤثثة s+1قريبة شارع البوسطة,,À Louer,1,50,100,1
,Tunis,A louer villa S5 sup 300m² couv à Mutuelleville,,À Louer,2,300,3000,5
,Tunis,A LOUER UN DUPLEX S+4 A CITE DE JUGE LA MARSA,S+4,À Louer,3,253,2500,2
,Sousse,منزل للكراء جديد,,À Louer,1,90,400,2
,Nabeul,Av 2maisons à birbourgba99958728,,À Vendre,2,120,170000,3
,Tunis,Villa sur 2 niveaux pour habitation ou usage bureau à Manar2,,À Louer,3,575,3000,6
,Nabeul,Av maison 700m pas loin de Hammamet 99958728,,À Vendre,2,740,350000,3
,Nabeul,S+1 Vu Piscine à Vendre dans une belle résidence avec piscine et salle de sport à AFH2 Mrezga Nabeul,S+1,À Vendre,1,70,270000,1
,Nabeul,A vendre un lot de terrain de 400 m² situé à cité AFH Mrezga Hammamet Nord très bien orienté,,False,False,False,1200,False
,Monastir,À louer : Bureau Hall + 1 à Ksar hellal,,À Louer,01,118.82,1100,02
,Ben Arous,"Appartement "" Le Feu vert """,,À Vendre,2,81,255000,2
,Sfax,Terrain clôturé à louer,,False,False,False,,False
,Ariana,A VENDRE S0 – SOUKRA – TEL 56306032– FB.6350,,À Vendre,1,40,120000,1
,Ben Arous,Appart A vendre,,À Vendre,1,80,,2
,Tunis,Local Commercial à l'Aouina,,À Vendre,1,35,,2
,Sfax,Terrain à vendre 792m² à route caid mhamed km 2.5,,False,False,False,435000,False
,Sfax,Terrain à vendre 2257m² à Route Menzel Chaker km 9 à droite 150m de la route principale,,False,False,False,225000,False
,Sfax,À vendre terrain rectangulaire 1020 m² à Route Soukra km 4,,False,False,False,180000,False
,Sfax,À vendre terrain 495m² titre foncier à route Manzel chaker km 14,,False,False,False,45000,False
,Sfax,Terrain clôturé 550m²+ studio 40m² à vendre à Route Mahdia km 4.5 مركز بشة,,False,False,False,235000,False
,Sfax,À vendre un magnifique terrain 653m² clôturé à Route el Ain km 7 à gauche à 50m زنقة الشيخ,,False,False,False,225000,False
,Ben Arous,330000,,False,False,False,330000,False
,Nabeul,Studio Nice 0,,À Louer,1,30,110,1
,Nabeul,Terrain agricole 14280 m²  à Kelibia,,False,False,False,1000000,False
,Nabeul,"Location Année Universitaire: s+2 meublé à cité el wafa, Nabeul.",,À Louer,0,100,900,0
,Tunis,A LOUER MAISON  S+2,S+2,À Louer,False,False,450,2
,Tunis,A louer villa plain pied S6 avec jardin à El Manar 3,,À Louer,4,500,4300,5
,Tunis,APPARTEMENT MANAR 1,,À Louer,1,90,1100,2
,Ariana,🌟 🌟ENNASR 2 ; à LOUER APPT S+3 🌟 🌟,S+3,À Louer,2,150,,3
,Ariana,🌟 🌟MENZAH 7BIS ; à louer appt S+3🌟 🌟,S+3,À Louer,1,150,,3
,Sousse,un joli appartement s+2 à khzema gharbia,,À Louer,1,95,700,2
,Sousse,"Cite Jawhara, s+2 near beach, Panorama, Monopix and international school",,À Louer,1,70,600,2
,Sousse,Bureau à louer situé à sousse ville,,À Louer,1,150,1000,2
,Sousse,Un appartement S+3 à louer à Sahloul,S+3,À Louer,1,180,1800,1
,Tunis,La marsa,,À Louer,2,160,2200,4
,Tunis,La marsa,,À Louer,1,60,1400,1
,Tunis,A Vendre Villa Au Ksair Said,,À Vendre,3,241,550000,6
,Tunis,location appartement,,À Louer,1,80,750,2
,Tunis,La marsa,,À Louer,2,140,2500,3
,Ariana,A LOUER – S+2 – ARIANA – TEL 56306032 – FB.7077,S+2,À Louer,1,150,1300,2
,Tunis,A LOUER – S+0 – AIN ZAGHOUAN- TEL 56306032 – FB.7140,S+0,À Louer,1,60,798,1
,Nabeul,"À vendre: S+3 de 153m²avec terrasse de 15m² à cité el wafa,Nabeul.",S+3,À Vendre,0,153,384997,3
,Nabeul,"location Annuelle :S+2 meublé dans une résidence à Mrezga, Hammamet nord.",S+2,À Louer,0,110,1200,2
,Nabeul,"À vendre : Villa de 220 m² sur un terrain de 280 m² à Cité El Wafa, Afh mrezga",,À Vendre,0,280,724999,4
,Nabeul,"À vendre : Villa de 135m² sur un terrain de 269m² à Cité el wafa, Afh mrezga",,À Vendre,2,269,620000,3
,Nabeul,"À vendre : Villa de style contemporain à Cité el Wafa , Nabeul",,À Vendre,0,364,1380000,4
,Nabeul,"À vendre: S+3 de 140m² avec une terrasse de 50m² à Cité El Wafa, Nabeul.",S+3,À Vendre,0,190,510000,3
,Nabeul,"À vendre:S+2  de 100m² avec jardin de 40 m² à cité el wafa, Nabeul.",S+2,À Vendre,0,140,400000,2
,Ariana,"A vendre villa Sidi Fredj, La Soukra",,À Vendre,2,280,590000,4
,Tunis,vente Duplex Gammarth,,À Vendre,2,214,550000,4
,Tunis,Location Villa S+4 à usage Bureautique ou Habitation à L'Aouina,S+4,À Louer,2,500,2500,4
,Ariana,Location Appartement S+2 à Raoued Plage,S+2,À Louer,1,90,1100,2
,Monastir,deux villa à vendre situé à Monastir,,À Vendre,3,1200,4200000000,8
,Tunis,Location S+3 à Ain Zaghouan,S+3,À Louer,1,140,1100,3
,Tunis,Location Etage de villa S+3 aux Jardins de Laouina,S+3,À Louer,2,150,1700,3
,Ariana,location menzah 8,,À Louer,1,100,1300,3
,Sousse,S+2 NON MEUBLE GHRABI HAMMAM SOUSSE,S+2,À Louer,2,90,,2
,Ariana,magazins ShowRoom salle de bain 54 490 057,,À Louer,4,123456,,4
,Tunis,LOCATION Appartement manar 2,,À Louer,1,80,1500,1
,Ariana,coquette appartement jamais habité,,À Louer,1,70,800,1
,Ariana,coquette appartement haut standing,,À Louer,1,100,1050,2
,Ariana,coquette s0 jamais habité,,À Louer,1,50,700,1
,Tunis,🏠Duplex S+3 avec entrée indépendante à La Marsa,S+3,À Louer,4,300,4000,3
,Tunis,🏠Appartement S+2 à Ain Zaghouan,S+2,À Vendre,1,120,335000,2
,Ariana,🏠Appartement S+2 à La Soukra,S+2,À Vendre,2,124,348000,2
,Ariana,🏠Appartement S+2 jamais habité à La Soukra,S+2,À Louer,1,90,1300,2
,Ariana,🏠Duplex S+4 avec terrasse à La Soukra,S+4,À Vendre,3,170,595000,4
,Nabeul,A Vendre : S+2 haut standing Vue piscine dans une résidence gardée avec ascenseur et double piscine à AFH2 Mrezga Nabeul.,S+2,À Vendre,1,97,400000,2
,Tunis,🏠 𝗠𝗔𝗡𝗔𝗥  ; à LOUER TRIPLEX S+5🏠,S+5,À Louer,2,300,2300,3
,Ariana,studio meublé à louer,,À Louer,1,50,750,1
,Tunis,Appartement S+2 haut standing au Lac 2,S+2,À Louer,2,120,1950,3
,Tunis,Appart Zanzibar à louer à Le Palace,,À Louer,1,60,1600,1
,Sousse,un joli appartement s+2 haut gamme haut standing,,À Louer,1,95,800,2
,Tunis,Triplex EL Misk à Louer à Gammarth,,À Louer,5,400,4500,5
,Nabeul,A vendre un terrain                 📞28256772📞,,False,False,False,216000,False
,Sousse,senia à vendre situé à kalaa kbira 📍,,False,False,False,750000,False
,Sousse,Une villa à vendre situé à sahloul 1,,À Vendre,1,600,850000,6
,Sousse,un joli studio s+1 à khzema gharbia,,À Louer,1,50,600,1
,Ben Arous,A ne pas rater,,False,False,False,70,False
,Ariana,Mnihla des lots 400 m2,,False,False,False,90000,False
,Ariana,A VENDRE 9 LOTS DE TERRAIN A BORJ TOUIL,,False,False,False,350,False
,La Manouba,location,,À Louer,1,169,600,3
,Ariana,BUREAU/LOCAL À LOUER EL MENZAH 5,,À Louer,1,15,600,1
,Bizerte,A Louer Appartement  à El Bhira Bizerte,,À Louer,0,100,700,2
,Nabeul,Une villa A vendre de plain-pied S4 à HAMMAMET,,À Vendre,2,220,650000,4
,Sfax,"à vendre s+3+place parking 
lafrane klm 6.5",,À Vendre,2,116,250000,3
,Mahdia,Appart à l'hôtel mahdia beach,,À Louer,1,75,,2
,Ben Arous,Maison a vendre madina jadida,,À Vendre,2,500,990000,6
