Type de bien,Localisation,Annonce,Configuration des pièces,Type de transaction,Salles de bains,Superficie,Prix,Chambres
,Tunis,A LOUER : Un spacieux et chaleureux appartement S+3 situé à Ain Zaghouan Nord ( Vide ),S+3,À Louer,3,180,2500,3
,Tunis,À VENDRE : Des appartements S+1 et S+2 direct promoteur situé à La Nouvelle Soukra,S+1,À Vendre,False,False,176000,False
,Ariana,A VENDRE : Des appartements S+2 et S+3 Direct promoteur situé à La Nouvelle Soukra,S+2,À Vendre,False,False,315000,False
,Nabeul,UNE BELLE VILLA S4 A VENDRE A HAMMAMET,,À Vendre,3,460,920000,4
,Tunis,"À VENDRE : Des appartements S+1, S+2 et S+3 situé au Jardin de Carthage",S+1,À Vendre,False,False,,False
,Nabeul,BELLE ET GRANDE VILLA A VENDRE A HAMMAMET NORD ZONE TOURISTIQUE,,À Vendre,5,700,,7
,Nabeul,Terrain à Hammamet à Vendre (zone CRAXI) un terrain clôturé de 1800 m²,,False,False,False,500,False
,Tunis,À VENDRE : Un S+2 situé à SIDI BOUSSAID,S+2,À Vendre,1,80,325000,2
,Tunis,A VENDRE : Un appartement S+2 situé au Jardin de L'Aouina,S+2,À Vendre,2,100,255000,2
,La Manouba,terrain vue panoramique,,False,False,False,67,False
,Nabeul,A louer à l’année a Hammamet Mrezga cité  AFH un très joli appartement S+1 de très haut standing,S+1,À Louer,1,60,1000,1
,Ben Arous,Appartement S+2 - Résidence el Hédi Mornag,S+2,À Louer,1.0,100.0,485,3.0
,Tunis,A louer local de 60 m²pour Traiteur ou laboratoire ou stockage,,À Louer,1,60,850,1
,La Manouba,بناي بالوفقة 58670647,,False,False,False,1000,False
,Ben Arous,a vendre fonds de commerce,,À Vendre,1,120,270000,False
,Tunis,a vendre s+2 haut standing a ain Zaghouan,,À Vendre,2,113,330000,2
,Sousse,VILLA STYLE AMÉRICAINE A KANTAOUI,,À Louer,2,250,2500,3
,Ariana,A louer local de 60 m²pour Traiteur ou laboratoire ou stockage,,À Louer,60,60,850,1
