Localisation,Type de bien,Superficie,Nb_Salles De bain,Nb_Chambres,Prix
Tunis,villa,587.0,3.0,5.0,712244.6477015878
Ariana,villa,500.0,2.0,7.0,810328.4908872605
Tunis,villa,800.0,1.0,10.0,901662.7056958248
Tunis,villa,662.0,4.0,8.0,825828.8819759199
Ariana,villa,420.0,3.0,4.0,1200000.0
Monastir,villa,208.0,3.0,5.0,315000.0
Nabeul,villa,320.0,4.0,3.0,717380.4790189103
Nabeul,villa,500.0,4.0,2.0,830000.0
Nabeul,villa,490.0,4.0,4.0,1250000.0
Sousse,villa,180.0,1.0,4.0,712135.6404037267
Ben_Arous,villa,200.0,1.0,3.0,350000.0
Tunis,villa,185.0,1.0,4.0,674399.6198383789
Bizerte,villa,600.0,2.0,4.0,573627.7795341448
Nabeul,villa,402.0,3.0,5.0,1250000.0
Nabeul,villa,800.0,4.0,4.0,1050000.0
Nabeul,villa,397.0,4.0,4.0,1050000.0
Bizerte,villa,300.0,2.0,3.0,349999.0
Ariana,villa,400.0,2.0,4.0,900000.0
Nabeul,villa,600.0,4.0,4.0,830000.0
Nabeul,villa,420.0,3.0,4.0,760000.0
Nabeul,villa,347.0,4.0,4.0,1100000.0
Tunis,Maison,572.0,1.0,3.0,580000.0
Monastir,villa,916.0,2.0,3.0,680000.0
Nabeul,villa,234.0,3.0,4.0,575000.0
Nabeul,Maison,269.0,1.0,3.0,400000.0
Nabeul,villa,426.0,3.0,3.0,1000000.0
Nabeul,villa,347.0,3.0,4.0,1100000.0
Tunis,villa,282.0,2.0,4.0,674379.233293209
Ariana,Maison,500.0,2.0,5.0,360000.0
Nabeul,villa,660.0,3.0,3.0,717436.5710625007
Sousse,Maison,360.0,4.0,7.0,549999.0
Ben_Arous,villa,566.0,3.0,3.0,569095.0426368841
Ariana,villa,224.0,2.0,4.0,696699.5216958376
Ben_Arous,Maison,216.0,2.0,3.0,375000.0
Ben_Arous,villa,418.0,4.0,7.0,790000.0
Ben_Arous,Maison,420.0,3.0,4.0,590000.0
Ben_Arous,villa,94.0,1.0,3.0,140000.0
Ben_Arous,Maison,200.0,1.0,3.0,325000.0
Ben_Arous,Maison,206.0,1.0,3.0,360000.0
Sousse,villa,792.0,1.0,3.0,674316.8383259333
Ben_Arous,Maison,622.0,1.0,3.0,430000.0
Ben_Arous,villa,395.0,3.0,3.0,495000.0
Sousse,villa,387.0,2.0,5.0,650000.0
Tunis,Maison,367.0,4.0,4.0,700000.0
Tunis,Maison,101.0,1.0,2.0,212000.0
Sousse,villa,760.0,3.0,6.0,787864.0180421032
Sousse,Maison,365.0,4.0,6.0,455161.42173564143
Tunis,Maison,378.0,3.0,3.0,303847.94848948275
Tunis,villa,410.0,3.0,4.0,1200000.0
Nabeul,Maison,180.0,1.0,2.0,140000.0
Ben_Arous,villa,250.0,3.0,5.0,644806.8357914779
Ariana,villa,402.0,2.0,3.0,950000.0
Nabeul,villa,550.0,4.0,3.0,870000.0
Nabeul,villa,430.0,3.0,4.0,790000.0
Nabeul,villa,1295.0,3.0,6.0,831094.8726885528
Nabeul,Appartement,585.0,4.0,8.0,578808.6522988072
Tunis,Maison,95.0,2.0,5.0,379590.7499622318
Nabeul,Maison,600.0,4.0,6.0,240000.0
Ariana,villa,391.0,2.0,4.0,849000.0
Ariana,villa,402.0,5.0,8.0,890000.0
Ariana,Appartement,140.0,2.0,3.0,330886.3428999358
Ariana,villa,220.0,1.0,4.0,660000.0
Nabeul,villa,320.0,4.0,4.0,990000.0
Nabeul,villa,620.0,4.0,4.0,720000.0
Nabeul,Maison,150.0,1.0,2.0,130000.0
Ben_Arous,villa,1014.0,4.0,6.0,682709.7532290902
Ariana,villa,300.0,2.0,4.0,980000.0
Ben_Arous,villa,524.0,2.0,3.0,650000.0
Ben_Arous,Maison,189.0,2.0,2.0,98000.0
Ben_Arous,Maison,120.0,2.0,5.0,312182.5156045893
Tunis,Maison,250.0,4.0,3.0,720000.0
Tunis,Maison,260.0,3.0,5.0,320000.0
Sfax,villa,700.0,3.0,4.0,600000.0
Nabeul,villa,440.0,2.0,4.0,845000.0
Tunis,villa,464.0,3.0,3.0,636496.9856366813
Ariana,villa,300.0,2.0,5.0,970000.0
Ben_Arous,villa,477.0,2.0,4.0,680000.0
Ben_Arous,villa,169.0,3.0,6.0,480000.0
Ben_Arous,villa,444.0,3.0,4.0,480000.0
Ariana,villa,539.0,2.0,6.0,900000.0
Ariana,villa,380.0,5.0,4.0,696627.3317576128
Ben_Arous,villa,460.0,3.0,6.0,450000.0
La_Manouba,villa,565.0,4.0,9.0,752781.2801280185
Mdenine,villa,450.0,4.0,5.0,576972.1407900127
Monastir,Maison,490.0,2.0,2.0,218000.0
Ariana,Maison,90.0,2.0,6.0,360000.0
Nabeul,villa,300.0,5.0,4.0,755219.3389948253
Sfax,villa,829.0,2.0,3.0,850000.0
Ariana,villa,318.0,1.0,2.0,620997.9018431583
Ariana,Maison,420.0,1.0,5.0,401970.6437641308
Tunis,Maison,70.0,1.0,4.0,80000.0
