Region,Localisation,Type,Nature,Area,#Bathrooms,#Bedrooms,Price
Ben Arous,Ben_Arous,,À Vendre,550.0,5.0,12,800000.0
Ben Arous,Ben_Arous,,À Vendre,206.0,4.0,8,650000.0
Ben Arous,Ben_Arous,,À Vendre,383.0,3.0,6,550000.0
Nabeul,Nabeul,villa,À Vendre,500.0,3.0,3,790000.0
Nabeul,Nabeul,villa,À Vendre,400.0,4.0,4,1030000.0
Ben Arous,Ben_Arous,villa,À Vendre,417.0,1.0,4,480000.0
Nabeul,Nabeul,Maison,À Vendre,90.0,1.0,2,0.0
Ariana,Ariana,,À Vendre,300.0,3.0,5,1000000.0
Tunis,Tunis,,À Vendre,657.0,3.0,8,2600000.0
Nabeul,Nabeul,,À Vendre,750.0,3.0,4,830000.0
Sfax,Sfax,Maison,À Vendre,303.0,2.0,5,350000.0
Tunis,Tunis,villa,À Vendre,587.0,3.0,5,1800000.0
Ariana,Ariana,villa,À Vendre,500.0,2.0,7,360.0
Tunis,Tunis,villa,À Vendre,800.0,1.0,10,0.0
Ariana,Ariana,villa,À Vendre,,6.0,7,950000.0
Ariana,Ariana,villa,À Vendre,2000.0,5.0,6,1.0
Tunis,Tunis,villa,À Vendre,662.0,4.0,8,1800.0
Ariana,Ariana,villa,À Vendre,420.0,3.0,4,1200000.0
Monastir,Monastir,villa,À Vendre,208.0,3.0,5,315000.0
Nabeul,Nabeul,villa,À Vendre,320.0,4.0,3,0.0
Nabeul,Nabeul,villa,À Vendre,500.0,4.0,2,830000.0
Nabeul,Nabeul,villa,À Vendre,490.0,4.0,4,1250000.0
Sousse,Sousse,villa,À Vendre,180.0,1.0,4,440.0
Bizerte,Bizerte,,À Vendre,154.0,2.0,5,350000.0
Ben Arous,Ben_Arous,villa,À Vendre,200.0,1.0,3,350000.0
Tunis,Tunis,villa,À Vendre,185.0,1.0,4,0.0
Ariana,Ariana,villa,À Vendre,850.0,6.0,8,2200000.0
Bizerte,Bizerte,villa,À Vendre,600.0,2.0,4,1.0
Nabeul,Nabeul,villa,À Vendre,,,5,1250000.0
Nabeul,Nabeul,villa,À Vendre,800.0,4.0,4,1050000.0
Nabeul,Nabeul,villa,À Vendre,397.0,4.0,4,1050000.0
Bizerte,Bizerte,villa,À Vendre,300.0,2.0,3,349999.0
Ariana,Ariana,villa,À Vendre,400.0,2.0,4,900000.0
Nabeul,Nabeul,villa,À Vendre,600.0,4.0,4,830000.0
Nabeul,Nabeul,villa,À Vendre,420.0,3.0,4,760000.0
Nabeul,Nabeul,villa,À Vendre,347.0,4.0,4,1100000.0
Tunis,Tunis,Maison,À Vendre,572.0,1.0,3,580000.0
Monastir,Monastir,villa,À Vendre,916.0,2.0,3,680000.0
Nabeul,Nabeul,villa,À Vendre,234.0,3.0,4,575000.0
Nabeul,Nabeul,Maison,À Vendre,269.0,1.0,3,400000.0
Nabeul,Nabeul,villa,À Vendre,426.0,3.0,3,1000000.0
Nabeul,Nabeul,villa,À Vendre,347.0,3.0,4,1100000.0
Tunis,Tunis,villa,À Vendre,282.0,2.0,4,0.0
Ariana,Ariana,Maison,À Vendre,500.0,2.0,5,360000.0
Nabeul,Nabeul,villa,À Vendre,660.0,3.0,3,1470000.0
Sousse,Sousse,Maison,À Vendre,360.0,4.0,7,549999.0
Ben Arous,Ben_Arous,villa,À Vendre,566.0,3.0,3,0.0
Ariana,Ariana,villa,À Vendre,224.0,2.0,4,500.0
