Region,Type,Area,#Bathrooms,#Bedrooms,Price
Nabeul,Villa,180.0,1.0,2.0,140000.0
Ben Arous,Villa,250.0,3.0,5.0,130000.0
Ariana,Villa,350.0,2.0,4.0,950000.0
Nabeul,Villa,550.0,4.0,3.0,870000.0
Nabeul,Villa,430.0,3.0,4.0,790000.0
Monastir,Villa,970.0,6.0,6.0,130000.0
Nabeul,Appartement,585.0,4.0,8.0,1799999.0
Tunis,Villa,95.0,2.0,5.0,130000.0
Ariana,Villa,150.0,6.0,8.0,130000.0
Ben Arous,Villa,320.0,2.0,5.0,380000.0
Nabeul,Villa,600.0,4.0,6.0,240000.0
Ben Arous,Villa,381.0,2.0,5.0,580000.0
Ariana,Villa,391.0,2.0,4.0,849000.0
Ariana,Villa,402.0,5.0,8.0,890000.0
Ariana,Appartement,140.0,2.0,3.0,130000.0
Ariana,Villa,220.0,1.0,4.0,660000.0
Nabeul,Villa,320.0,4.0,4.0,990000.0
Nabeul,Villa,620.0,4.0,4.0,720000.0
Nabeul,Villa,150.0,1.0,2.0,130000.0
Ben Arous,Villa,1014.0,4.0,6.0,2300000.0
Tunis,Villa,260.0,4.0,6.0,880000.0
Ariana,Villa,300.0,2.0,4.0,980000.0
Ben Arous,Villa,524.0,2.0,3.0,650000.0
Ben Arous,Villa,350.0,2.0,2.0,130000.0
La Manouba,Appartement,115.0,1.0,3.0,229000.0
Ben Arous,Villa,120.0,2.0,5.0,130000.0
Tunis,Villa,250.0,4.0,4.0,720000.0
Tunis,Villa,60.0,4.0,5.0,270000.0
Tunis,Villa,260.0,3.0,5.0,320000.0
Sfax,Villa,700.0,3.0,4.0,600000.0
Nabeul,Villa,440.0,2.0,4.0,845000.0
Tunis,Villa,464.0,3.0,3.0,1400000.0
Ariana,Villa,300.0,2.0,5.0,970000.0
La Manouba,Appartement,118.0,2.0,2.0,130000.0
Ben Arous,Villa,477.0,2.0,4.0,680000.0
Ben Arous,Villa,169.0,3.0,6.0,480000.0
Ben Arous,Villa,444.0,3.0,4.0,480000.0
