Region,Type,Area,#Bathrooms,#Bedrooms,Price
Ariana,Villa,110.0,1.0,2.0,145000.0
Tunis,Villa,230.0,6.0,8.0,2300000.0
Ben Arous,Appartement,220.0,2.0,4.0,130000.0
Tunis,Villa,140.0,1.0,4.0,2300000.0
Nabeul,Villa,350.0,2.0,6.0,130000.0
Nabeul,Villa,700.0,4.0,4.0,1050000.0
Monastir,Villa,209.0,1.0,4.0,235000.0
Ariana,Villa,230.0,2.0,4.0,130000.0
Bizerte,Villa,150.0,1.0,4.0,380000.0
Bizerte,Villa,160.0,1.0,2.0,130000.0
Ariana,Villa,116.0,2.0,5.0,130000.0
Ben Arous,Villa,190.0,2.0,4.0,269000.0
Sousse,Villa,60.0,1.0,1.0,130000.0
Gabès,Villa,400.0,2.0,7.0,270000.0
Ben Arous,Villa,100.0,1.0,3.0,130000.0
Gabès,Villa,500.0,2.0,6.0,130000.0
Médenine,Villa,490.0,2.0,5.0,130000.0
Nabeul,Villa,200.0,1.0,2.0,330000.0
Nabeul,Villa,834.0,3.0,4.0,1600000.0
Tunis,Villa,700.0,2.0,4.0,1900000.0
Mahdia,Appartement,300.0,1.0,4.0,350000.0
Tunis,Villa,740.0,5.0,6.0,1900000.0
Ariana,Villa,150.0,1.0,3.0,130000.0
Tunis,Villa,118.0,2.0,2.0,350000.0
Nabeul,Villa,485.0,2.0,4.0,130000.0
Ariana,Villa,300.0,3.0,8.0,630000.0
La Manouba,Villa,409.0,3.0,8.0,550000.0
Tunis,Villa,300.0,2.0,5.0,650000.0
Nabeul,Villa,480.0,2.0,2.0,680000.0
Ariana,Villa,459.0,2.0,4.0,1500000.0
Ariana,Villa,528.0,2.0,6.0,2000000.0
Tunis,Villa,486.0,2.0,2.0,1800000.0
Bizerte,Villa,315.0,3.0,5.0,360000.0
Ariana,Villa,121.0,2.0,2.0,130000.0
Ben Arous,Villa,562.0,3.0,5.0,130000.0
Ariana,Appartement,300.0,2.0,4.0,130000.0
Sousse,Villa,280.0,2.0,6.0,570000.0
Siliana,Villa,110.0,1.0,3.0,130000.0
Ariana,Villa,110.0,1.0,1.0,135000.0
Médenine,Villa,300.0,1.0,2.0,130000.0
Ben Arous,Villa,400.0,1.0,3.0,500000.0
Ariana,Appartement,111.0,1.0,2.0,260000.0
Médenine,Villa,359.0,3.0,3.0,500000.0
Nabeul,Villa,600.0,5.0,4.0,130000.0
Ariana,Villa,140.0,1.0,4.0,130000.0
Tunis,Villa,120.0,2.0,5.0,2300000.0
Ariana,Villa,330.0,3.0,8.0,350000.0
Sousse,Villa,120.0,3.0,3.0,470000.0
Tunis,Villa,150.0,5.0,6.0,450000.0
Nabeul,Appartement,200.0,1.0,1.0,170000.0
Nabeul,Villa,890.0,2.0,3.0,870000.0
Ariana,Villa,400.0,1.0,3.0,200000.0
Nabeul,Villa,150.0,2.0,3.0,130000.0
Nabeul,Appartement,106.0,1.0,2.0,190000.0
Tunis,Villa,102.0,2.0,3.0,310000.0
Tunis,Villa,500.0,2.0,6.0,750000.0
Ariana,Villa,240.0,4.0,4.0,950000.0
Nabeul,Villa,600.0,2.0,3.0,690000.0
Sfax,Villa,240.0,2.0,6.0,280000.0
Tunis,Appartement,110.0,1.0,2.0,380000.0
Jendouba,Villa,600.0,1.0,5.0,130000.0
Ariana,Villa,1100.0,3.0,6.0,2100000.0
Ben Arous,Appartement,160.0,1.0,3.0,130000.0
Sousse,Appartement,150.0,1.0,4.0,130000.0
Tunis,Villa,350.0,3.0,4.0,1280000.0
Nabeul,Villa,320.0,2.0,4.0,990000.0
Nabeul,Villa,200.0,3.0,4.0,750000.0
Nabeul,Villa,450.0,1.0,3.0,230000.0
Monastir,Villa,350.0,2.0,4.0,130000.0
Nabeul,Villa,210.0,4.0,3.0,130000.0
Ben Arous,Villa,529.0,4.0,7.0,1200000.0
Zaghouan,Villa,350.0,1.0,4.0,580000.0
Nabeul,Villa,1053.0,4.0,5.0,1100000.0
Nabeul,Villa,450.0,4.0,4.0,1250000.0
Sousse,Villa,277.0,1.0,3.0,249000.0
Sousse,Appartement,314.0,1.0,3.0,130000.0
Ben Arous,Villa,630.0,2.0,6.0,950000.0
Bizerte,Villa,162.0,2.0,6.0,130000.0
Ariana,Villa,500.0,4.0,6.0,700000.0
Médenine,Villa,350.0,2.0,4.0,1700000.0
Nabeul,Villa,481.0,1.0,3.0,1450000.0
Nabeul,Villa,571.0,4.0,6.0,1500000.0
Nabeul,Villa,224.0,2.0,4.0,130000.0
La Manouba,Villa,240.0,2.0,6.0,130000.0
Médenine,Villa,519.0,2.0,3.0,450000.0
Médenine,Villa,158.0,2.0,3.0,130000.0
Ariana,Villa,220.0,2.0,3.0,200000.0
Médenine,Villa,550.0,4.0,6.0,520000.0
Sousse,Villa,215.0,1.0,3.0,225000.0
Ariana,Villa,120.0,2.0,2.0,210000.0
Tunis,Villa,888.0,2.0,8.0,1200000.0
Médenine,Villa,350.0,2.0,4.0,130000.0
Nabeul,Villa,385.0,2.0,4.0,130000.0
Sousse,Villa,1000.0,2.0,5.0,980000.0
Ben Arous,Villa,350.0,2.0,3.0,365000.0
Ben Arous,Villa,500.0,2.0,6.0,130000.0
Ariana,Villa,300.0,2.0,3.0,240000.0
Nabeul,Villa,400.0,3.0,5.0,580000.0
Monastir,Villa,350.0,2.0,2.0,130000.0
Ariana,Villa,630.0,2.0,4.0,400000.0
Ariana,Villa,350.0,2.0,3.0,650000.0
Sfax,Villa,110.0,1.0,3.0,130000.0
Sousse,Villa,150.0,1.0,3.0,220000.0
Nabeul,Villa,700.0,4.0,5.0,1050000.0
Tunis,Villa,230.0,4.0,5.0,1810000.0
Sousse,Appartement,120.0,1.0,3.0,130000.0
Bizerte,Villa,200.0,2.0,4.0,130000.0
Monastir,Appartement,471.0,2.0,4.0,130000.0
Ben Arous,Appartement,175.0,2.0,3.0,130000.0
Ben Arous,Villa,430.0,2.0,6.0,750000.0
Sousse,Villa,100.0,2.0,4.0,130000.0
Tunis,Appartement,192.0,2.0,3.0,270000.0
Tunis,Villa,266.0,4.0,4.0,730000.0
Ariana,Villa,470.0,2.0,5.0,980000.0
Nabeul,Villa,107.0,2.0,5.0,130000.0
Nabeul,Villa,350.0,2.0,4.0,799999.0
Ariana,Villa,350.0,1.0,5.0,480000.0
Nabeul,Villa,700.0,5.0,4.0,1050000.0
Ben Arous,Villa,437.0,3.0,5.0,780000.0
Ariana,Villa,480.0,4.0,4.0,1150000.0
Ben Arous,Villa,340.0,1.0,2.0,750000.0
La Manouba,Appartement,210.0,2.0,4.0,130000.0
Ariana,Villa,378.0,1.0,6.0,130000.0
Nabeul,Villa,779.0,2.0,3.0,1600000.0
Nabeul,Villa,400.0,2.0,3.0,130000.0
Nabeul,Villa,205.0,2.0,4.0,645000.0
Béja,Villa,278.0,1.0,5.0,130000.0
Sfax,Villa,878.0,1.0,3.0,1275000.0
Ben Arous,Villa,350.0,2.0,4.0,220000.0
Tunis,Villa,250.0,1.0,3.0,190000.0
Tunis,Villa,350.0,3.0,4.0,130000.0
Bizerte,Villa,350.0,2.0,4.0,130000.0
Sousse,Villa,506.0,2.0,4.0,1500000.0
Tunis,Villa,100.0,2.0,3.0,315000.0
La Manouba,Villa,500.0,2.0,4.0,130000.0
Médenine,Appartement,65.0,1.0,2.0,150000.0
Ariana,Villa,200.0,1.0,2.0,330000.0
Nabeul,Villa,460.0,1.0,3.0,130000.0
Monastir,Villa,185.0,2.0,4.0,295000.0
Tunis,Villa,750.0,6.0,6.0,850000.0
Ariana,Villa,170.0,2.0,5.0,130000.0
Sousse,Villa,638.0,2.0,7.0,130000.0
Jendouba,Villa,350.0,1.0,6.0,250000.0
Ben Arous,Villa,126.5,1.0,2.0,175000.0
Ben Arous,Appartement,220.0,1.0,3.0,230000.0
Ariana,Villa,275.0,1.0,3.0,300000.0
Ariana,Villa,380.0,3.0,3.0,990000.0
Ben Arous,Villa,190.0,1.0,4.0,170000.0
Sousse,Villa,160.0,1.0,3.0,260000.0
Ben Arous,Villa,324.0,3.0,7.0,130000.0
Nabeul,Villa,140.0,1.0,3.0,130000.0
Sousse,Villa,740.0,5.0,7.0,2300000.0
Ariana,Villa,350.0,2.0,4.0,130000.0
Ariana,Villa,220.0,1.0,2.0,190000.0
Ben Arous,Villa,436.0,3.0,4.0,1700000.0
Tunis,Villa,350.0,2.0,3.0,230000.0
Sfax,Villa,400.0,1.0,3.0,130000.0
Ben Arous,Villa,70.0,2.0,4.0,130000.0
Ariana,Villa,250.0,2.0,4.0,130000.0
Sfax,Villa,870.0,1.0,2.0,430000.0
Ariana,Villa,151.0,1.0,2.0,130000.0
Ariana,Villa,538.0,2.0,4.0,360000.0
Ariana,Villa,460.0,3.0,4.0,825000.0
Tunis,Villa,800.0,4.0,5.0,2250000.0
Tunis,Villa,800.0,6.0,6.0,1900000.0
Ariana,Appartement,230.0,1.0,2.0,130000.0
Sousse,Villa,200.0,2.0,3.0,130000.0
Ben Arous,Villa,400.0,3.0,6.0,350000.0
Ariana,Villa,538.0,2.0,4.0,370000.0
Ariana,Appartement,200.0,2.0,3.0,600000.0
Nabeul,Villa,487.0,4.0,4.0,1250000.0
Tunis,Villa,500.0,3.0,1.0,130000.0
Ariana,Villa,460.0,3.0,5.0,2300000.0
Nabeul,Villa,200.0,1.0,2.0,410000.0
Ariana,Villa,880.0,3.0,4.0,130000.0
Ariana,Villa,350.0,2.0,4.0,280000.0
Ariana,Villa,187.0,1.0,3.0,130000.0
Tunis,Villa,526.0,2.0,4.0,1700000.0
Tunis,Villa,200.0,2.0,3.0,130000.0
Ben Arous,Villa,600.0,3.0,8.0,800000.0
Ben Arous,Villa,386.0,4.0,6.0,620000.0
Tunis,Villa,574.0,3.0,4.0,1800000.0
Tunis,Villa,150.0,1.0,4.0,130000.0
Sousse,Appartement,417.0,2.0,4.0,450000.0
Tunis,Villa,580.0,4.0,3.0,1200000.0
Sousse,Villa,800.0,4.0,2.0,2300000.0
Bizerte,Villa,220.0,3.0,5.0,130000.0
La Manouba,Villa,328.0,2.0,4.0,650000.0
Ariana,Villa,550.0,1.0,3.0,130000.0
Sfax,Appartement,73.0,1.0,2.0,130000.0
Sousse,Villa,280.0,2.0,4.0,950000.0
Nabeul,Villa,245.0,2.0,3.0,589999.0
Ben Arous,Villa,80.0,1.0,2.0,300000.0
Tunis,Villa,400.0,2.0,5.0,820000.0
Nabeul,Villa,600.0,4.0,5.0,800000.0
Tunis,Villa,330.0,2.0,6.0,1800000.0
Ben Arous,Villa,270.0,2.0,4.0,590000.0
Ben Arous,Appartement,140.0,2.0,3.0,395000.0
Tunis,Villa,150.0,3.0,8.0,130000.0
Sousse,Villa,414.0,2.0,7.0,1650000.0
Nabeul,Villa,443.0,3.0,4.0,1180000.0
Sfax,Villa,350.0,2.0,4.0,470000.0
Tunis,Villa,285.0,4.0,4.0,1800000.0
Ben Arous,Villa,400.0,1.0,4.0,620000.0
Tunis,Villa,280.0,3.0,4.0,950000.0
Nabeul,Villa,300.0,3.0,5.0,130000.0
Tunis,Villa,530.0,4.0,4.0,2300000.0
Nabeul,Villa,300.0,3.0,1.0,130000.0
Nabeul,Villa,285.0,3.0,4.0,130000.0
Tunis,Villa,587.0,2.0,4.0,1800000.0
Ariana,Appartement,220.0,2.0,4.0,750000.0
Sousse,Villa,435.0,2.0,3.0,130000.0
Ben Arous,Villa,269.0,2.0,6.0,130000.0
Tunis,Villa,430.0,3.0,5.0,870000.0
Ben Arous,Villa,316.0,4.0,4.0,800000.0
Nabeul,Villa,300.0,3.0,5.0,1350000.0
Sfax,Villa,160.0,2.0,4.0,220000.0
Tunis,Villa,220.0,2.0,5.0,130000.0
Tunis,Appartement,128.0,2.0,4.0,420000.0
Ben Arous,Villa,470.0,2.0,5.0,680000.0
Ben Arous,Villa,520.0,2.0,6.0,500000.0
Ben Arous,Villa,340.0,3.0,7.0,500000.0
Tunis,Villa,500.0,3.0,4.0,1600000.0
Tunis,Villa,368.0,4.0,6.0,1350000.0
Ben Arous,Villa,450.0,2.0,7.0,600000.0
Nabeul,Villa,225.0,2.0,3.0,670000.0
Nabeul,Villa,1012.0,2.0,3.0,1050000.0
Tunis,Appartement,200.0,2.0,3.0,499999.0
Sfax,Villa,120.0,1.0,3.0,130000.0
Ariana,Villa,468.0,2.0,5.0,830000.0
Tunis,Villa,75.0,1.0,3.0,130000.0
Sfax,Villa,600.0,2.0,4.0,400000.0
Kairouan,Villa,520.0,3.0,5.0,550000.0
Kairouan,Villa,138.0,2.0,5.0,230000.0
Ariana,Villa,429.0,4.0,3.0,881000.0
Nabeul,Villa,968.0,3.0,4.0,1500000.0
Tunis,Appartement,450.0,2.0,3.0,560000.0
Tunis,Villa,498.0,4.0,8.0,2000000.0
Tunis,Villa,350.0,1.0,2.0,130000.0
Jendouba,Villa,350.0,1.0,4.0,130000.0
Tunis,Villa,100.0,2.0,3.0,130000.0
Kairouan,Villa,106.0,1.0,4.0,130000.0
Sousse,Villa,450.0,1.0,3.0,950000.0
Bizerte,Villa,450.0,3.0,5.0,680000.0
Tunis,Villa,200.0,1.0,5.0,320000.0
Ben Arous,Villa,288.0,3.0,6.0,130000.0
Tunis,Villa,480.0,2.0,4.0,255000.0
Ben Arous,Villa,180.0,1.0,3.0,380000.0
Ben Arous,Villa,350.0,1.0,2.0,550000.0
Tunis,Villa,325.0,2.0,6.0,750000.0
Bizerte,Villa,140.0,2.0,5.0,300000.0
Ariana,Villa,596.0,2.0,3.0,430000.0
Ben Arous,Villa,256.0,2.0,4.0,260000.0
Ben Arous,Villa,447.0,2.0,3.0,650000.0
Sousse,Villa,200.0,2.0,4.0,130000.0
Nabeul,Villa,240.0,3.0,7.0,130000.0
Sfax,Villa,1000.0,1.0,4.0,130000.0
Ben Arous,Villa,233.0,1.0,3.0,130000.0
Tunis,Appartement,450.0,2.0,4.0,650000.0
Sousse,Villa,460.0,1.0,4.0,130000.0
La Manouba,Villa,65.0,1.0,2.0,130000.0
Zaghouan,Villa,212.0,1.0,4.0,130000.0
Tunis,Villa,600.0,3.0,6.0,2300000.0
Nabeul,Appartement,42.0,1.0,1.0,130000.0
Nabeul,Villa,800.0,2.0,4.0,130000.0
Ben Arous,Villa,485.0,3.0,6.0,650000.0
Sousse,Villa,402.0,3.0,5.0,450000.0
Tunis,Appartement,98.0,2.0,4.0,300000.0
Sousse,Villa,418.0,2.0,6.0,130000.0
Sfax,Villa,147.0,1.0,3.0,130000.0
Ariana,Villa,115.0,1.0,2.0,130000.0
Ariana,Villa,150.0,1.0,5.0,130000.0
Tunis,Villa,300.0,1.0,3.0,130000.0
Ben Arous,Villa,180.0,2.0,3.0,200000.0
Ben Arous,Villa,300.0,2.0,4.0,470000.0
Sfax,Villa,259.0,2.0,3.0,130000.0
Sfax,Villa,288.0,1.0,6.0,150000.0
Sousse,Villa,218.0,2.0,4.0,950000.0
Nabeul,Villa,800.0,3.0,6.0,1300000.0
Ben Arous,Villa,156.0,2.0,3.0,260000.0
Bizerte,Villa,249.0,2.0,4.0,130000.0
Sousse,Villa,200.0,2.0,3.0,680000.0
Le Kef,Villa,120.0,2.0,4.0,130000.0
Ariana,Villa,218.0,1.0,3.0,250000.0
Gabès,Villa,350.0,1.0,4.0,130000.0
Ben Arous,Appartement,250.0,2.0,3.0,570000.0
Tunis,Villa,530.0,5.0,6.0,980000.0
Ben Arous,Villa,200.0,2.0,3.0,130000.0
La Manouba,Appartement,120.0,1.0,2.0,200003.0
Ariana,Villa,280.0,3.0,5.0,850000.0
Ben Arous,Villa,390.0,2.0,5.0,700000.0
Ben Arous,Villa,350.0,2.0,4.0,305000.0
Tunis,Villa,200.0,2.0,4.0,160000.0
Ariana,Villa,220.0,2.0,6.0,340000.0
Kairouan,Villa,360.0,2.0,3.0,450000.0
Le Kef,Villa,200.0,1.0,5.0,275000.0
Bizerte,Villa,600.0,2.0,6.0,577000.0
Ariana,Villa,150.0,3.0,3.0,400000.0
Sfax,Villa,350.0,2.0,4.0,130000.0
Tunis,Villa,600.0,1.0,5.0,1490000.0
Tunis,Villa,368.0,2.0,3.0,1500000.0
Nabeul,Villa,953.0,4.0,6.0,130000.0
Ben Arous,Villa,110.0,2.0,4.0,130000.0
Tunis,Appartement,326.0,2.0,3.0,680000.0
Ben Arous,Villa,191.0,1.0,4.0,150000.0
Nabeul,Villa,1000.0,2.0,5.0,1500000.0
Tunis,Villa,500.0,5.0,8.0,590000.0
Nabeul,Villa,170.0,2.0,4.0,230000.0
Nabeul,Villa,430.0,6.0,6.0,1300000.0
Tunis,Villa,280.0,3.0,1.0,240000.0
Tunis,Villa,463.0,4.0,5.0,2300000.0
Bizerte,Appartement,49.0,1.0,2.0,156999.0
Tunis,Appartement,125.0,1.0,3.0,250000.0
Ariana,Villa,217.0,2.0,3.0,270000.0
Médenine,Villa,295.0,2.0,5.0,1450000.0
Médenine,Villa,350.0,2.0,3.0,900000.0
Ariana,Appartement,170.0,2.0,4.0,130000.0
Ariana,Villa,634.0,3.0,3.0,800000.0
Ariana,Villa,108.0,1.0,2.0,130000.0
Mahdia,Villa,528.0,1.0,1.0,480000.0
Tunis,Villa,80.0,2.0,4.0,130000.0
Ariana,Villa,437.0,2.0,6.0,130000.0
Ben Arous,Appartement,270.0,2.0,4.0,320000.0
Tunis,Villa,285.0,1.0,4.0,440000.0
Tunis,Villa,350.0,1.0,4.0,130000.0
Ben Arous,Villa,460.0,2.0,4.0,130000.0
Tunis,Villa,268.0,1.0,4.0,350000.0
Nabeul,Villa,229.0,2.0,4.0,330000.0
Ben Arous,Villa,61.0,2.0,3.0,165000.0
Tunis,Appartement,190.0,2.0,3.0,320000.0
Tunis,Appartement,90.0,1.0,2.0,130000.0
Bizerte,Villa,150.0,2.0,2.0,340000.0
Médenine,Villa,360.0,2.0,2.0,430000.0
Tunis,Villa,355.0,3.0,7.0,680000.0
Tunis,Villa,124.0,3.0,5.0,780000.0
Tunis,Appartement,153.0,1.0,3.0,130000.0
Tunis,Villa,350.0,2.0,3.0,130000.0
Ariana,Appartement,373.0,1.0,2.0,280000.0
Mahdia,Villa,350.0,1.0,6.0,130000.0
Ben Arous,Villa,186.0,2.0,3.0,130000.0
Nabeul,Villa,129.0,2.0,7.0,130000.0
Sousse,Villa,110.0,1.0,2.0,130000.0
Nabeul,Villa,300.0,1.0,4.0,130000.0
Tunis,Villa,260.0,1.0,4.0,130000.0
Tunis,Villa,350.0,4.0,5.0,2100000.0
Nabeul,Villa,100.0,1.0,2.0,150000.0
Ben Arous,Villa,516.0,2.0,6.0,580000.0
Ariana,Villa,200.0,1.0,4.0,280000.0
Nabeul,Villa,537.0,2.0,4.0,130000.0
Ben Arous,Villa,260.0,2.0,3.0,450000.0
Sousse,Villa,1000.0,3.0,6.0,1500000.0
Ben Arous,Appartement,130.0,1.0,3.0,850000.0
Sfax,Villa,209.0,2.0,3.0,180000.0
Sousse,Appartement,500.0,2.0,3.0,130000.0
Tunis,Villa,150.0,3.0,5.0,130000.0
Sousse,Villa,400.0,2.0,3.0,900000.0
Bizerte,Villa,225.0,1.0,2.0,130000.0
Ben Arous,Villa,350.0,2.0,4.0,130000.0
Ben Arous,Villa,510.0,2.0,8.0,1500000.0
Nabeul,Villa,370.0,2.0,4.0,900000.0
Ariana,Villa,256.0,2.0,4.0,130000.0
Ariana,Villa,475.0,2.0,4.0,130000.0
Tunis,Villa,117.0,3.0,7.0,460000.0
Ben Arous,Villa,315.0,2.0,6.0,700000.0
Ben Arous,Appartement,250.0,1.0,4.0,350000.0
Ben Arous,Villa,407.0,2.0,4.0,650000.0
Tunis,Appartement,336.0,1.0,3.0,450000.0
Ariana,Appartement,450.0,2.0,4.0,750000.0
Ben Arous,Villa,220.0,2.0,5.0,370000.0
Tunis,Villa,112.0,2.0,6.0,2300000.0
Ariana,Villa,300.0,2.0,4.0,850000.0
Bizerte,Villa,270.0,2.0,4.0,340000.0
Bizerte,Villa,313.0,3.0,5.0,360000.0
Ben Arous,Villa,566.0,2.0,3.0,890000.0
Ben Arous,Villa,260.0,2.0,3.0,485000.0
La Manouba,Villa,319.0,2.0,3.0,130000.0
Nabeul,Appartement,130.0,2.0,2.0,130000.0
Ariana,Villa,100.0,1.0,3.0,2300000.0
Ariana,Villa,430.0,1.0,4.0,300000.0
Ariana,Villa,257.0,1.0,3.0,290000.0
Ariana,Villa,120.0,3.0,6.0,130000.0
Tunis,Villa,162.0,2.0,5.0,130000.0
Ariana,Villa,756.0,1.0,3.0,155000.0
Ben Arous,Villa,206.0,1.0,3.0,130000.0
Nabeul,Villa,200.0,2.0,3.0,280000.0
Tunis,Villa,260.0,1.0,4.0,420000.0
Tunis,Villa,470.0,3.0,4.0,130000.0
Tunis,Villa,232.0,2.0,4.0,400000.0
Ben Arous,Villa,508.0,4.0,7.0,1200000.0
Sfax,Villa,468.0,1.0,4.0,130000.0
Ben Arous,Villa,546.0,1.0,1.0,399997.0
Sousse,Villa,218.0,2.0,4.0,750000.0
Nabeul,Villa,300.0,4.0,7.0,990000.0
Ben Arous,Villa,720.0,4.0,8.0,750000.0
Gabès,Villa,360.0,3.0,5.0,459999.0
Ben Arous,Villa,105.0,3.0,6.0,350000.0
Bizerte,Villa,270.0,3.0,7.0,490000.0
Sfax,Villa,816.0,2.0,6.0,1250000.0
Ariana,Villa,370.0,2.0,8.0,999999.0
Nabeul,Villa,1050.0,5.0,7.0,1550000.0
Ben Arous,Villa,400.0,1.0,3.0,280000.0
Tunis,Villa,300.0,2.0,5.0,750000.0
Ben Arous,Villa,270.0,4.0,6.0,550000.0
Tunis,Villa,520.0,4.0,7.0,130000.0
Monastir,Villa,589.0,1.0,2.0,299000.0
Tunis,Villa,350.0,2.0,4.0,750100.0
Nabeul,Villa,300.0,2.0,4.0,2300000.0
Tunis,Villa,876.0,4.0,7.0,130000.0
Ben Arous,Villa,480.0,2.0,5.0,750000.0
Ben Arous,Villa,119.0,1.0,4.0,270000.0
Bizerte,Villa,300.0,2.0,4.0,130000.0
Tunis,Villa,350.0,2.0,8.0,1600000.0
Ben Arous,Appartement,237.0,2.0,4.0,325000.0
Tunis,Villa,74.0,1.0,3.0,150000.0
Ben Arous,Villa,450.0,1.0,3.0,290000.0
Tunis,Villa,115.0,2.0,6.0,270000.0
Nabeul,Villa,1000.0,6.0,5.0,1200000.0
Nabeul,Villa,350.0,2.0,5.0,1100000.0
Ben Arous,Villa,630.0,2.0,6.0,800000.0
Le Kef,Villa,100.0,1.0,4.0,130000.0
La Manouba,Villa,450.0,2.0,4.0,250000.0
Sousse,Villa,307.0,1.0,3.0,600000.0
Sousse,Villa,400.0,3.0,7.0,2300000.0
Tunis,Villa,440.0,3.0,6.0,1350000.0
Ben Arous,Appartement,198.0,2.0,3.0,520000.0
Ben Arous,Villa,420.0,2.0,3.0,650000.0
Tunis,Villa,300.0,2.0,3.0,130000.0
Sfax,Villa,132.0,1.0,3.0,130000.0
Tunis,Villa,80.0,1.0,6.0,130000.0
Ben Arous,Villa,200.0,2.0,2.0,130000.0
Sousse,Appartement,83.0,1.0,1.0,130000.0
Sousse,Villa,390.0,3.0,5.0,540000.0
Sousse,Villa,140.0,2.0,4.0,390000.0
Ariana,Villa,375.0,2.0,3.0,130000.0
Sousse,Villa,180.0,2.0,4.0,450000.0
Sousse,Villa,400.0,2.0,3.0,130000.0
Bizerte,Villa,556.0,2.0,7.0,580000.0
Ben Arous,Villa,175.0,2.0,6.0,550000.0
Tunis,Villa,1033.0,3.0,5.0,2300000.0
Bizerte,Villa,381.0,3.0,4.0,830000.0
Ariana,Villa,400.0,2.0,4.0,850000.0
Nabeul,Villa,154.0,2.0,3.0,130000.0
Ariana,Villa,300.0,3.0,5.0,130000.0
Tunis,Villa,204.0,2.0,5.0,130000.0
Ben Arous,Villa,450.0,2.0,5.0,320000.0
Ariana,Villa,450.0,2.0,4.0,2300000.0
Sfax,Appartement,130.0,1.0,2.0,150000.0
Nabeul,Villa,350.0,2.0,3.0,790000.0
Nabeul,Appartement,100.0,1.0,2.0,165000.0
Nabeul,Villa,560.0,3.0,5.0,130000.0
Nabeul,Villa,300.0,3.0,3.0,620000.0
Tunis,Appartement,120.0,1.0,2.0,220000.0
Ben Arous,Villa,530.0,2.0,5.0,130000.0
Ben Arous,Villa,396.0,2.0,5.0,130000.0
Ariana,Villa,277.0,2.0,5.0,800000.0
Tunis,Villa,101.0,2.0,7.0,470000.0
Médenine,Villa,610.0,3.0,4.0,130000.0
Bizerte,Villa,350.0,4.0,4.0,920000.0
Tunis,Villa,225.0,1.0,3.0,430000.0
Ariana,Villa,550.0,2.0,6.0,2300000.0
Nabeul,Villa,1020.0,6.0,5.0,130000.0
Tunis,Villa,226.0,2.0,5.0,450000.0
Nabeul,Villa,300.0,2.0,4.0,1180000.0
Nabeul,Villa,289.0,2.0,2.0,415000.0
Sousse,Villa,165.0,1.0,4.0,165000.0
Tunis,Villa,452.0,2.0,4.0,540000.0
Tunis,Appartement,772.0,6.0,2.0,130000.0
Ben Arous,Appartement,624.0,2.0,4.0,550000.0
Nabeul,Appartement,130.0,1.0,3.0,385000.0
Ben Arous,Villa,140.0,1.0,3.0,130000.0
Ben Arous,Villa,420.0,2.0,3.0,700000.0
Ariana,Villa,150.0,1.0,1.0,130000.0
Tunis,Villa,100.0,1.0,2.0,130000.0
Sousse,Villa,1000.0,2.0,4.0,1100000.0
Sousse,Villa,267.0,1.0,2.0,400000.0
Sousse,Villa,350.0,3.0,4.0,1000000.0
Sousse,Villa,615.0,2.0,4.0,900000.0
Sousse,Villa,1000.0,2.0,5.0,2300000.0
Sousse,Villa,350.0,5.0,4.0,2300000.0
Sousse,Villa,600.0,1.0,3.0,600000.0
Sousse,Villa,207.0,1.0,3.0,360000.0
Ariana,Appartement,101.0,1.0,3.0,130000.0
Ben Arous,Villa,350.0,2.0,6.0,600000.0
Nabeul,Villa,600.0,1.0,3.0,130000.0
Tunis,Villa,443.0,4.0,8.0,930000.0
Sousse,Villa,320.0,1.0,5.0,130000.0
Ariana,Villa,270.0,3.0,7.0,510000.0
Ariana,Villa,620.0,2.0,3.0,130000.0
Monastir,Villa,220.0,1.0,7.0,130000.0
Sousse,Villa,350.0,2.0,4.0,1350000.0
Ariana,Villa,350.0,2.0,4.0,620000.0
La Manouba,Villa,400.0,2.0,4.0,600000.0
Ben Arous,Villa,620.0,3.0,4.0,850000.0
Sousse,Villa,140.0,1.0,3.0,155000.0
Médenine,Villa,108.0,1.0,3.0,130000.0
La Manouba,Villa,80.0,1.0,3.0,170000.0
Sfax,Villa,220.0,4.0,3.0,130000.0
Sousse,Villa,140.0,1.0,2.0,130000.0
Nabeul,Villa,420.0,3.0,3.0,750000.0
Médenine,Villa,250.0,2.0,6.0,285000.0
Ben Arous,Villa,97.0,1.0,2.0,130000.0
Ben Arous,Appartement,85.0,2.0,4.0,215000.0
La Manouba,Villa,230.0,2.0,6.0,440000.0
Bizerte,Villa,111.0,1.0,4.0,390000.0
La Manouba,Villa,104.0,1.0,2.0,130000.0
Sousse,Villa,69.0,2.0,3.0,150000.0
Kairouan,Villa,200.0,1.0,2.0,130000.0
Sousse,Villa,720.0,4.0,5.0,1200000.0
Nabeul,Villa,1000.0,5.0,6.0,1500000.0
Tunis,Villa,627.0,3.0,7.0,950000.0
La Manouba,Appartement,300.0,1.0,4.0,670000.0
Tunis,Appartement,100.0,1.0,1.0,140000.0
Ariana,Villa,507.0,3.0,5.0,599997.0
Ben Arous,Villa,269.0,2.0,5.0,130000.0
Nabeul,Villa,100.0,1.0,2.0,2300000.0
Nabeul,Villa,400.0,2.0,4.0,1500000.0
La Manouba,Villa,110.0,1.0,3.0,180000.0
Nabeul,Villa,350.0,2.0,5.0,550000.0
Mahdia,Villa,350.0,1.0,3.0,130000.0
